State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Nebraska,Boyd,49.45,50.55,5.15,18.34,4.72,6.77,9.29,15.29,14.96,12.2,14.34,96.95,0.05,0.57,0.81,0.1,0.57,0.95,1.57,96.43,12.01,18.39,8.38,3.67,1.95,54.07,0.76,26.16,57.27,15.58,693
Nebraska,Arthur,49.57,50.43,7.17,21.09,3.91,11.3,9.57,12.61,13.48,10.87,9.57,95.43,0.0,0.43,0.22,0.0,3.04,0.87,4.13,94.57,6.09,19.13,7.83,2.39,3.26,48.26,0.0,20.0,61.96,16.3,688
Nebraska,Antelope,49.8,50.2,6.87,18.61,5.53,8.39,9.14,15.99,15.15,10.02,10.98,97.49,0.28,0.16,0.3,0.0,1.15,0.61,2.66,96.01,13.57,13.15,7.72,4.13,3.2,49.65,1.54,28.83,65.43,12.03,687
Nebraska,Banner,51.3,48.7,5.51,18.7,5.22,7.1,7.68,18.99,17.83,10.72,8.99,95.65,0.0,0.43,0.0,0.0,3.19,0.72,3.77,95.07,19.86,10.72,9.57,1.45,4.78,56.81,1.01,23.91,64.49,16.38,689
Nebraska,Brown,48.68,51.32,5.37,18.44,4.55,8.39,10.14,15.04,14.91,11.41,12.66,98.19,0.06,0.29,0.22,0.0,0.41,0.83,0.92,97.68,20.06,11.64,5.5,2.99,2.42,43.24,1.27,36.18,59.49,15.48,694
Nebraska,Burt,49.01,50.99,6.46,18.15,4.83,7.93,10.5,15.31,14.6,10.15,12.96,95.93,0.38,1.68,0.25,0.03,0.51,1.22,1.84,95.07,11.04,13.69,8.97,4.43,4.9,48.79,3.0,29.83,64.93,10.75,696
Nebraska,Butler,50.16,49.84,6.58,20.36,5.32,8.48,10.98,16.59,13.37,8.77,10.33,97.58,0.29,0.13,0.32,0.0,1.0,0.68,2.32,96.39,8.96,13.92,9.72,4.43,4.07,51.85,1.43,25.65,70.64,9.02,697
Nebraska,Cedar,50.84,49.16,7.33,20.44,5.25,8.04,10.27,16.2,12.71,8.56,11.82,98.32,0.08,0.25,0.08,0.0,0.59,0.69,1.28,97.82,11.29,11.86,7.95,4.35,3.17,50.84,1.5,25.85,65.41,13.19,699
Nebraska,Cass,50.17,49.83,7.08,20.43,6.1,9.65,12.84,16.51,13.93,7.86,6.41,96.89,0.34,0.33,0.34,0.05,0.59,1.45,2.41,95.41,5.53,8.81,9.16,6.49,8.09,51.88,2.73,22.26,76.3,8.93,698
Nebraska,Buffalo,49.54,50.46,7.92,18.4,15.76,12.06,10.94,12.65,10.75,5.98,6.12,92.72,0.83,0.28,1.29,0.03,3.5,1.35,7.44,89.21,9.4,10.16,8.14,4.52,5.24,54.18,2.42,21.28,72.31,11.0,695
Nebraska,Cuming,49.59,50.41,7.32,19.79,5.38,8.96,11.02,15.07,12.58,8.93,11.87,93.2,0.14,0.32,0.2,0.03,4.99,1.12,8.25,90.5,11.48,12.05,9.59,4.39,4.53,52.24,1.53,25.17,65.09,13.23,705
Nebraska,Chase,49.55,50.45,7.77,18.05,6.18,9.56,10.36,15.03,13.26,9.13,11.3,91.88,0.13,0.08,0.1,0.0,6.61,1.21,11.14,88.02,12.61,14.5,6.86,5.04,4.11,51.94,2.19,23.93,66.09,12.83,700
Nebraska,Cherry,49.78,50.22,6.16,17.91,5.37,9.45,11.19,15.95,13.71,10.38,10.45,90.67,0.23,5.86,0.35,0.02,0.4,2.47,1.66,89.99,12.01,12.41,10.41,3.94,5.08,55.61,0.96,23.6,62.65,15.74,701
Nebraska,Cheyenne,49.67,50.33,7.31,18.48,6.54,11.7,11.88,16.18,12.6,7.19,8.73,94.06,0.19,0.66,1.58,0.05,2.19,1.27,6.1,90.81,9.87,12.18,7.76,6.13,7.54,55.71,2.0,21.31,72.68,10.78,702
Nebraska,Clay,50.09,49.91,7.09,20.31,6.42,8.87,10.42,16.02,13.76,8.54,9.31,92.97,0.34,0.47,0.15,0.02,4.6,1.45,7.67,90.81,10.64,12.53,9.77,3.88,3.24,48.64,2.35,27.77,69.49,11.37,703
Nebraska,Colfax,51.6,48.4,10.18,20.96,8.88,11.47,11.81,13.66,10.0,5.98,7.6,72.61,0.85,1.08,0.27,0.05,23.12,2.03,41.04,57.36,8.14,10.58,9.03,4.06,3.44,49.3,3.4,19.94,67.44,17.92,704
Wyoming,Park,49.71,50.29,6.38,16.83,8.46,9.95,10.56,15.12,15.88,9.84,7.68,95.55,0.2,0.6,0.59,0.09,1.41,1.56,4.84,92.5,10.08,12.2,8.54,4.86,5.94,51.4,2.18,25.96,66.1,13.76,276
Georgia,Pulaski,43.22,56.78,6.71,16.59,7.49,11.38,13.76,15.46,13.5,9.58,6.09,63.94,31.84,0.33,0.87,0.04,1.95,1.02,3.87,62.4,11.88,10.87,5.77,3.69,2.66,37.59,5.06,38.38,58.49,15.96,2196
Georgia,Stephens,47.86,52.14,6.73,18.2,9.37,9.63,12.08,14.41,13.69,9.58,7.03,85.14,10.87,0.29,0.68,0.06,0.98,1.98,2.42,84.07,13.27,9.97,6.07,2.61,3.64,41.08,4.47,33.26,61.95,19.5,2201
