State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,"FID"
Nebraska,Box Butte,"11,150",25.61,60.22,14.18,90.51,0.09,3.95,0.23,0.0,3.07,2.15,10.41,84.12,6.59,24.5,23.61,11.83,48.83,2.3,10.13,25.02,28.29,35.72,39.26,1315
Nebraska,Boyd,"1,969",20.72,53.68,25.6,98.32,1.02,0.15,0.0,0.0,0.15,0.36,0.61,97.87,5.59,33.37,23.26,11.43,49.01,0.71,3.15,19.35,26.26,37.13,40.12,1317
Nebraska,Brown,"3,119",22.51,54.73,22.76,98.36,0.1,0.0,0.19,0.0,0.0,1.35,0.67,97.69,5.71,26.96,24.53,14.04,48.12,0.9,3.53,20.84,28.98,39.63,45.91,1319
Nebraska,Buffalo,"43,724",24.51,63.3,12.19,93.91,0.54,0.12,0.86,0.0,2.85,1.72,7.19,89.91,4.62,17.73,20.3,19.91,57.01,1.64,5.48,17.81,23.31,29.05,31.87,1321
Nebraska,Burt,"6,735",22.45,55.4,22.15,96.33,0.48,1.66,0.15,0.0,0.24,1.14,2.15,94.7,6.07,28.21,25.05,12.64,49.62,1.99,2.72,15.9,20.56,27.26,31.63,1323
Nebraska,Butler,"8,230",24.36,56.94,18.7,97.62,0.83,0.26,0.06,0.0,1.12,0.12,2.49,96.26,6.12,26.94,26.44,9.66,52.22,1.66,3.35,13.6,17.4,25.1,26.95,1325
Nebraska,Cass,"24,920",25.24,61.07,13.7,97.12,0.61,0.15,0.41,0.0,0.51,1.2,2.5,95.41,4.2,22.52,24.62,16.68,51.8,3.08,2.89,8.4,11.39,17.94,20.48,1326
Nebraska,Cedar,"8,640",25.47,55.22,19.31,99.11,0.05,0.2,0.17,0.0,0.0,0.47,1.27,97.95,5.09,30.12,21.6,11.13,51.72,1.39,2.81,14.36,20.88,29.03,34.05,1329
Nebraska,Chase,"3,885",24.22,56.24,19.54,98.04,0.0,0.0,0.0,0.0,0.49,1.47,11.27,88.37,7.34,27.31,25.48,10.12,53.49,2.29,3.09,16.29,21.39,35.29,39.64,1330
Nebraska,Cherry,"5,623",20.81,58.55,20.65,93.44,0.2,2.56,1.33,0.0,0.0,2.47,3.43,90.01,5.26,23.15,28.92,15.37,57.67,0.62,3.68,15.42,20.65,27.64,30.7,1333
Nebraska,Cheyenne,"9,857",23.16,61.43,15.41,96.8,0.09,0.64,1.94,0.0,0.06,0.47,5.99,91.07,4.54,20.25,27.67,17.93,57.0,2.27,3.2,17.37,19.66,27.07,30.02,1334
Nebraska,Clay,"6,373",25.4,57.73,16.87,97.65,0.2,1.02,0.0,0.42,0.25,0.46,7.63,90.82,7.34,23.08,24.98,12.1,51.06,2.24,3.17,15.02,21.65,31.02,34.14,1336
Nebraska,Colfax,"10,217",28.2,58.5,13.3,91.58,1.25,0.83,0.16,0.08,2.94,3.16,40.5,57.8,18.36,17.89,18.07,7.81,49.49,4.24,6.21,21.21,28.56,36.18,38.29,1338
Nebraska,Cuming,"8,983",25.09,54.87,20.04,95.68,0.46,0.06,0.14,0.0,2.42,1.25,8.45,90.09,8.42,27.4,19.95,12.33,50.77,1.31,5.22,14.43,20.24,28.5,31.79,1340
Nebraska,Custer,"10,658",23.59,56.3,20.12,97.91,0.14,0.02,0.0,0.0,0.47,1.46,1.75,96.73,5.24,25.65,25.33,13.81,52.67,1.73,3.16,15.08,19.7,28.34,32.32,1342
Nebraska,Dakota,"20,550",28.89,60.38,10.73,70.61,3.58,2.39,3.29,0.0,18.87,1.26,35.22,55.44,18.0,20.03,17.31,6.38,52.1,2.86,4.01,20.09,26.89,38.8,42.54,1344
Nebraska,Dawes,"8,069",20.28,61.68,18.04,90.87,1.69,4.88,1.65,0.0,0.0,0.92,2.68,88.42,5.38,15.45,22.57,24.9,55.11,2.38,9.74,28.57,36.04,40.74,43.8,1347
Nebraska,Dawson,"23,692",27.94,58.32,13.74,81.45,3.19,0.52,0.5,0.0,13.09,1.25,32.0,63.52,15.32,22.41,16.32,9.88,50.62,3.14,5.15,21.22,27.56,37.46,42.08,1349
Nebraska,Deuel,"1,940",20.36,56.13,23.51,98.87,0.26,0.1,0.0,0.0,0.0,0.77,3.25,95.62,4.85,25.26,29.79,12.78,52.16,2.32,3.56,19.38,25.21,29.23,32.16,1351
Nebraska,Dixon,"5,866",26.18,56.51,17.3,97.36,0.24,0.36,0.0,0.0,1.19,0.85,10.65,88.1,9.82,24.11,22.74,11.15,51.62,2.78,4.57,17.64,22.3,29.7,36.29,1353
Nebraska,Dodge,"35,458",24.1,58.33,17.57,96.4,0.3,0.61,0.49,0.14,0.68,1.37,9.92,87.81,10.18,25.4,20.93,12.27,51.82,3.43,4.37,17.18,22.34,30.4,34.03,1354
Nebraska,Douglas,"506,798",26.02,63.46,10.52,78.36,11.12,0.66,2.62,0.06,4.3,2.88,11.19,72.23,6.38,14.63,19.88,23.54,52.47,3.81,6.0,18.4,22.78,28.98,31.2,1358
Nebraska,Dundy,"1,947",21.93,57.27,20.8,99.33,0.05,0.0,0.26,0.0,0.21,0.15,5.75,93.79,4.83,23.47,29.22,16.33,51.93,1.59,1.69,14.69,27.02,37.8,38.47,1360
Nebraska,Fillmore,"5,567",22.08,56.53,21.39,98.29,0.29,0.27,0.14,0.0,0.83,0.18,1.81,97.47,4.72,27.02,26.87,13.47,55.79,1.04,1.72,12.18,18.18,27.12,29.23,1363
Nebraska,Franklin,"3,108",21.01,55.18,23.81,98.55,0.16,0.32,0.16,0.0,0.1,0.71,1.16,97.65,4.89,27.57,28.28,12.36,47.94,1.93,4.76,15.7,23.81,31.37,35.59,1369
Nebraska,Frontier,"2,537",21.21,59.44,19.35,99.21,0.0,0.08,0.0,0.0,0.16,0.55,0.67,98.7,4.02,24.32,28.46,13.87,52.27,1.66,5.72,17.26,25.5,29.6,33.74,1371
