State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
Alabama,Russell,"57,054",23.8,61.98,20.69,14.23,47.9,44.97,0.15,1.18,0.05,2.68,3.06,5.69,45.14,9.84,20.18,26.07,12.01,40.44,2.39,11.32,27.45,31.61,39.28,43.49,64.17,76.51,83.83,288
Alabama,St. Clair,"86,841",23.1,60.0,23.14,16.9,88.04,8.36,0.56,0.77,0.02,0.83,1.42,2.48,86.62,9.36,24.13,23.08,12.95,45.67,2.51,4.48,15.41,18.7,25.68,29.1,47.55,65.46,77.14,292
Alabama,Shelby,"213,265",23.64,60.97,21.79,15.39,79.97,11.96,0.36,1.97,0.02,2.7,3.02,5.73,77.59,4.44,13.25,20.4,30.58,50.41,1.94,3.31,9.34,12.31,16.78,18.47,32.21,48.36,61.92,298
Alabama,Sumter,"11,741",20.29,61.05,25.95,18.66,24.4,73.03,0.07,1.19,0.0,0.33,0.98,1.24,23.9,9.2,22.09,20.59,11.76,37.61,3.25,14.4,39.25,44.29,51.51,57.61,74.24,84.52,92.36,303
Alabama,Talladega,"76,675",21.57,60.35,26.05,18.08,64.21,31.55,0.36,0.54,0.2,0.93,2.22,2.19,63.18,12.39,23.17,23.51,11.09,41.74,3.11,8.29,24.48,31.03,39.41,42.84,58.31,74.58,82.57,306
Alabama,Tallapoosa,"39,879",21.0,58.19,28.6,20.81,70.12,27.36,0.12,0.42,0.0,0.75,1.23,2.43,69.04,13.3,23.22,21.02,13.47,38.74,4.75,7.65,22.44,27.75,36.85,40.99,56.21,75.26,83.99,308
Alabama,Tuscaloosa,"198,767",21.72,64.65,19.65,13.63,62.69,32.93,0.22,1.66,0.01,0.88,1.6,3.73,60.52,6.75,18.77,19.28,20.45,48.4,2.8,8.64,21.32,26.31,33.12,35.54,51.41,65.9,77.5,313
Alabama,Walker,"62,541",21.8,58.85,26.12,19.35,89.66,5.91,0.3,0.38,0.0,1.04,2.7,2.64,88.37,12.77,24.53,23.51,9.54,39.92,3.15,7.5,23.4,28.76,36.56,39.55,58.76,73.09,84.29,317
Alabama,Washington,"16,198",21.43,58.95,26.74,19.62,65.87,24.29,7.55,0.19,0.0,0.15,1.94,0.86,65.08,9.53,29.98,18.74,9.9,34.95,2.53,6.4,25.83,30.57,36.64,39.61,56.74,67.13,76.16,319
Alabama,Wilcox,"10,289",24.05,56.57,27.2,19.38,27.01,70.41,0.12,0.04,0.0,0.0,2.43,0.45,26.6,13.46,27.01,18.23,7.92,31.85,4.75,8.46,37.31,42.46,49.08,54.62,66.56,77.7,86.88,326
Alabama,Winston,"23,316",20.39,58.31,27.76,21.3,95.67,0.68,0.3,0.38,0.07,1.12,1.78,3.16,93.63,15.35,28.02,19.37,9.67,40.44,2.32,7.45,23.0,31.24,41.49,44.17,64.79,78.79,85.74,332
Alaska,Aleutians East,"3,379",12.96,75.76,18.08,11.28,14.68,3.79,40.75,24.12,0.33,5.18,11.16,8.73,13.23,10.48,31.87,22.97,12.96,68.87,2.55,3.58,16.4,20.66,27.94,29.92,53.36,65.64,75.08,346
Alaska,Aleutians West,"5,419",17.75,74.31,12.79,7.94,24.38,2.51,10.94,43.13,3.03,5.41,10.61,13.93,21.13,6.37,32.04,22.73,12.6,66.4,2.93,3.82,9.23,11.37,17.14,20.47,38.77,55.1,65.58,381
Alaska,Anchorage,"285,133",24.38,64.62,16.9,11.0,61.34,5.23,7.3,9.96,2.88,2.32,10.96,9.37,56.87,3.93,15.52,22.41,24.55,51.04,2.81,3.84,11.59,14.93,20.02,21.83,37.13,50.37,62.07,400
Alaska,Bethel,"17,874",35.65,56.8,12.67,7.55,10.13,0.73,83.59,1.14,0.25,0.25,3.92,1.92,9.28,8.83,26.22,12.67,6.2,35.32,7.49,12.64,37.83,44.56,52.18,55.23,68.89,78.67,84.57,411
Alaska,Bristol Bay,713,18.37,69.57,21.88,12.06,52.45,0.0,30.01,2.38,1.26,2.95,10.94,10.1,48.67,4.91,23.56,29.87,19.92,59.89,2.38,2.24,6.73,9.54,12.76,15.01,32.26,46.28,58.35,423
Alaska,Valdez-Cordova,"6,375",21.74,65.02,25.77,13.24,75.61,0.89,6.23,5.8,0.97,3.07,7.42,5.15,73.77,3.06,17.29,30.51,21.15,55.34,1.62,4.33,5.84,6.78,14.45,16.05,29.79,51.17,58.93,710
Alaska,Valdez-Cordova,"2,876",27.85,59.77,19.4,12.38,57.34,0.17,28.55,0.45,0.0,0.24,13.25,4.31,56.92,2.99,22.6,19.05,20.51,41.06,2.36,3.76,11.72,20.03,28.09,30.49,40.58,52.23,65.4,710
Alaska,Denali,"2,441",10.65,78.62,25.15,10.73,81.32,1.8,1.76,2.09,0.0,0.41,12.62,1.27,81.32,1.72,23.06,21.34,29.91,67.92,2.58,9.18,19.87,20.32,30.52,30.89,43.34,61.45,69.89,426
Alaska,Dillingham,"4,884",30.86,58.01,16.52,11.14,16.4,1.49,74.26,0.41,0.06,0.7,6.67,3.03,14.78,7.99,23.71,15.95,11.49,39.93,5.24,7.15,22.65,31.59,43.78,48.61,61.77,73.81,81.78,445
Alaska,Fairbanks North Star,"94,212",24.66,64.49,16.17,10.85,74.29,4.3,7.76,3.18,0.55,1.75,8.17,7.94,69.34,3.53,15.42,24.58,21.01,46.66,3.54,3.45,9.79,13.7,19.19,21.29,37.65,54.1,66.31,454
Alaska,Haines,"2,507",32.87,43.8,28.16,23.33,77.66,0.0,5.66,1.79,0.16,0.04,14.68,5.27,72.6,1.32,22.62,23.89,18.35,37.38,3.71,7.46,17.51,22.22,24.93,25.77,49.82,57.48,64.62,462
Alaska,Hoonah-Angoon,"2,134",12.93,64.43,32.29,22.63,49.02,3.37,33.32,2.3,0.0,0.98,11.01,9.28,45.6,4.92,29.76,31.02,16.03,49.3,6.0,2.95,15.32,19.96,28.16,30.6,49.25,63.5,76.34,476
Alaska,Juneau,"31,633",21.22,65.11,20.28,13.66,66.76,0.79,9.79,6.84,1.17,1.4,13.25,6.88,63.86,2.58,15.07,25.3,27.67,51.7,2.4,3.98,8.77,11.6,14.2,15.97,28.64,43.9,56.45,482
Alaska,Kenai Peninsula,"57,569",22.7,59.85,25.4,17.45,82.03,0.5,7.41,1.67,0.3,1.51,6.57,4.28,79.75,4.76,21.44,25.35,18.4,42.72,3.69,5.5,16.6,19.7,25.47,27.7,41.97,56.98,67.47,494
Alaska,Ketchikan Gateway,"13,655",21.75,62.8,23.03,15.44,65.02,0.69,14.68,8.39,0.18,1.4,9.64,5.41,63.16,4.31,21.33,26.58,18.05,51.69,3.05,4.45,11.53,15.92,20.67,23.34,40.25,56.71,67.12,514
Alaska,Kodiak Island,"13,137",25.58,63.89,17.15,10.54,53.16,0.34,12.32,23.25,0.24,1.2,9.48,8.94,47.7,6.99,18.06,21.88,20.03,48.53,3.2,2.99,10.03,11.91,19.13,20.74,39.37,58.23,73.33,533
Alaska,Wade Hampton,"8,223",40.13,53.99,9.64,5.87,3.25,0.45,93.07,0.09,0.07,0.71,2.37,1.14,3.21,10.54,26.67,10.39,1.61,27.11,7.89,17.13,48.13,57.3,66.97,70.19,86.88,93.01,95.99,725
Alaska,Lake and Peninsula,"1,144",24.83,64.51,17.83,10.66,24.04,6.99,58.83,2.27,0.26,0.09,7.52,0.26,23.86,7.43,22.38,18.44,14.51,45.02,10.05,6.64,23.51,29.46,36.8,38.55,60.31,72.64,78.5,544
Alaska,Matanuska-Susitna,"105,257",26.69,61.16,18.32,12.15,82.45,1.33,5.59,1.49,0.26,0.61,8.26,5.25,79.0,4.07,21.75,24.82,14.53,41.27,4.51,5.5,13.24,16.59,21.37,23.63,39.28,54.46,68.07,556
Alaska,Nome,"9,592",34.09,58.1,11.77,7.81,14.55,0.73,77.0,2.72,0.02,0.13,4.85,1.95,13.97,7.54,24.46,14.47,9.63,38.23,8.43,9.99,28.41,35.98,43.54,46.19,62.67,72.15,80.65,571
Alaska,North Slope,"9,260",25.9,66.84,12.89,7.27,28.75,1.58,52.3,5.89,2.19,1.38,7.92,3.71,28.15,7.54,27.41,21.7,10.1,55.76,6.06,4.62,12.71,16.85,22.53,24.43,41.19,53.8,67.63,614
Alaska,Northwest Arctic,"7,645",35.36,56.89,12.43,7.76,11.58,1.02,81.91,1.19,0.1,0.22,3.98,2.5,10.41,8.58,25.95,12.53,8.36,35.09,6.68,11.55,30.26,35.49,44.97,48.18,63.48,73.39,80.69,638
