State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Arkansas,Madison,6045,5.77,4.81,18.92,31.96,21.69,4.95,11.89,6045,4.27,27.48,34.72,33.53,277
Arkansas,Marion,6918,1.62,1.69,17.98,40.36,28.39,6.48,3.48,6918,6.07,28.38,42.53,23.03,282
Arkansas,Miller,16237,4.3,2.86,15.51,31.97,29.19,11.97,4.2,16237,8.44,33.61,37.2,20.75,287
Arkansas,Mississippi,16623,2.09,1.79,6.08,33.51,35.94,14.32,6.27,16623,9.34,36.11,34.34,20.21,294
Arkansas,Monroe,3234,0.87,1.76,10.02,25.42,44.12,12.59,5.23,3234,12.28,40.75,33.43,13.54,300
Arkansas,Montgomery,3706,3.1,2.64,18.48,33.78,19.54,16.06,6.4,3706,2.86,27.28,42.96,26.9,304
Arkansas,Nevada,3188,2.6,2.42,6.59,38.05,23.43,20.33,6.59,3188,4.77,31.59,41.15,22.49,307
Arkansas,Newton,2996,1.7,2.27,12.48,35.85,28.37,10.48,8.85,2996,3.5,27.4,32.78,36.32,311
Arkansas,Ouachita,9487,2.0,2.37,5.32,29.64,32.9,20.52,7.24,9487,10.83,33.6,32.58,22.99,316
Arkansas,Perry,3700,4.84,5.86,12.62,41.81,22.95,6.51,5.41,3700,6.57,27.3,36.22,29.92,318
Arkansas,Phillips,7561,1.04,1.32,5.57,25.0,43.45,14.51,9.11,7561,16.36,36.85,30.33,16.47,322
Arkansas,Pike,4215,3.18,2.75,14.23,32.22,28.21,10.96,8.45,4215,4.53,24.44,37.13,33.9,327
Arkansas,Poinsett,9567,3.2,2.56,10.27,28.85,35.83,15.05,4.23,9567,6.98,35.13,37.91,19.97,333
Arkansas,Polk,8114,1.69,3.55,14.07,31.32,33.86,9.0,6.52,8114,4.82,27.31,43.16,24.71,337
Arkansas,Pope,22863,4.65,3.86,14.32,37.25,30.01,6.33,3.58,22863,5.02,31.17,40.72,23.1,340
Arkansas,Prairie,3755,3.36,4.74,12.81,25.86,36.14,11.96,5.14,3755,3.36,36.11,37.71,22.82,345
Arkansas,Pulaski,161652,4.06,4.31,12.55,28.06,32.65,13.54,4.83,161652,7.33,39.0,36.02,17.64,350
