State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Florida,Orange,2010,365,263,97,5,0,0,0,133,61,44,0,1,228,136,0,967
Florida,Osceola,2010,365,327,36,2,0,0,0,133,51,36,0,0,365,0,0,968
Florida,Palm Beach,2010,365,272,91,2,0,0,0,119,61,42,0,7,168,188,2,969
Florida,Pasco,2010,365,304,61,0,0,0,0,97,58,39,0,0,365,0,0,970
Florida,Pinellas,2010,365,244,121,0,0,0,0,100,63,45,0,0,190,175,0,971
Florida,Polk,2010,365,261,102,2,0,0,0,122,63,44,0,0,218,146,1,972
Florida,Putnam,2010,359,357,2,0,0,0,0,57,27,15,0,0,0,0,359,973
Florida,Santa Rosa,2010,365,243,116,4,2,0,0,156,67,45,0,0,244,121,0,976
Florida,Sarasota,2010,365,190,170,5,0,0,0,133,71,49,0,0,132,233,0,977
Florida,Seminole,2010,364,312,49,3,0,0,0,105,54,38,0,0,329,29,6,978
Florida,St. Lucie,2010,223,191,32,0,0,0,0,93,53,39,0,0,104,119,0,975
Florida,Volusia,2010,365,294,70,1,0,0,0,101,56,41,0,0,245,120,0,983
Florida,Wakulla,2010,355,314,39,2,0,0,0,126,52,36,0,0,316,39,0,984
Georgia,Bibb,2010,364,160,200,4,0,0,0,133,76,53,0,0,73,290,1,997
Georgia,Charlton,2010,119,107,12,0,0,0,0,67,51,30,0,0,0,119,0,635
Georgia,Chatham,2010,364,243,121,0,0,0,0,100,63,43,0,0,111,253,0,646
Georgia,Chattooga,2010,264,203,61,0,0,0,0,97,71,41,0,0,242,0,22,659
Georgia,Clarke,2010,365,205,155,5,0,0,0,147,77,46,0,0,137,228,0,666
Georgia,Clayton,2010,112,49,63,0,0,0,0,86,68,53,0,0,0,112,0,673
Georgia,Cobb,2010,347,178,152,16,1,0,0,156,84,50,0,0,133,214,0,680
Georgia,Coffee,2010,59,45,14,0,0,0,0,83,63,36,0,0,0,59,0,684
Georgia,Columbia,2010,243,181,61,1,0,0,0,108,71,44,0,0,243,0,0,692
Georgia,Coweta,2010,365,220,145,0,0,0,0,100,69,45,0,0,105,260,0,700
Georgia,Dawson,2010,244,187,49,7,1,0,0,151,74,43,0,0,244,0,0,713
Georgia,DeKalb,2010,365,132,222,9,2,0,0,182,79,55,0,19,72,274,0,718
Georgia,Dougherty,2010,357,189,165,2,1,0,0,156,70,48,0,0,0,354,3,728
Georgia,Douglas,2010,244,159,76,9,0,0,0,133,87,45,0,0,244,0,0,731
Georgia,Floyd,2010,363,125,236,0,2,0,0,155,74,56,0,0,0,363,0,764
Georgia,Fulton,2010,365,153,195,15,2,0,0,161,87,54,2,0,113,248,2,779
Georgia,Glynn,2010,280,230,50,0,0,0,0,93,58,41,0,0,219,53,8,793
Georgia,Gwinnett,2010,365,207,153,5,0,0,0,119,74,47,0,0,135,230,0,804
Georgia,Hall,2010,354,136,218,0,0,0,0,99,76,55,0,0,0,354,0,808
Georgia,Henry,2010,365,215,145,3,2,0,0,159,71,46,0,0,123,242,0,820
Georgia,Houston,2010,331,160,171,0,0,0,0,98,70,52,0,0,0,331,0,823
Georgia,Lowndes,2010,332,135,191,4,2,0,0,159,69,53,0,0,0,332,0,863
Georgia,Murray,2010,278,189,80,9,0,0,0,150,77,44,0,0,216,62,0,892
Georgia,Muscogee,2010,365,201,161,1,1,1,0,245,72,47,0,0,113,251,1,896
Georgia,Paulding,2010,365,223,135,7,0,0,0,150,74,45,2,3,151,209,0,908
Georgia,Pike,2010,325,239,81,4,1,0,0,166,77,41,0,0,325,0,0,7
Georgia,Richmond,2010,364,195,164,5,0,0,0,136,72,48,0,0,116,248,0,24
Georgia,Rockdale,2010,363,285,68,10,0,0,0,150,67,36,0,121,242,0,0,28
Georgia,Sumter,2010,234,189,43,2,0,0,0,108,64,42,0,0,234,0,0,52
Georgia,Walker,2010,351,166,185,0,0,0,0,95,70,52,0,0,0,351,0,126
Georgia,Washington,2010,112,77,35,0,0,0,0,90,60,40,0,0,0,102,10,143
Georgia,Wilkinson,2010,106,50,55,0,1,0,0,178,68,51,0,0,0,106,0,169
Hawaii,Hawaii,2010,365,33,317,13,2,0,0,155,87,65,0,0,0,365,0,198
Hawaii,Honolulu,2010,365,297,67,0,1,0,0,154,54,38,0,1,84,271,9,234
Hawaii,Maui,2010,343,335,8,0,0,0,0,75,34,18,0,0,0,343,0,323
Idaho,Ada,2010,365,193,168,4,0,0,0,136,71,49,0,14,139,209,3,336
Idaho,Bannock,2010,365,345,20,0,0,0,0,80,41,20,0,0,0,126,239,343
Idaho,Benewah,2010,363,278,83,2,0,0,0,131,62,32,0,0,0,363,0,354
Idaho,Bonner,2010,321,319,1,1,0,0,0,106,19,9,0,0,0,0,321,387
Idaho,Butte,2010,331,287,44,0,0,0,0,77,54,43,0,0,315,16,0,414
Idaho,Canyon,2010,360,299,60,1,0,0,0,127,55,25,0,0,0,176,184,441
Idaho,Cassia,2010,166,133,33,0,0,0,0,84,58,45,0,0,166,0,0,456
