NAME,STREET,CITY,STATE,ZIP,AFFILIATION,RULING,FOUNDATION,ACTIVITY,ORGANIZATION,x,y
GRACE LIFE CHURCH,47 APPLE ST,TORRINGTON,CT,6790,3,201706,10,0,1,-8140932.50920017,5131356.137887341
LAHAK HANOCHOS INC,1335 CARROLL ST,BROOKLYN,NY,11213,3,201008,16,0,1,-8231381.710540024,4963319.447418822
CHURCH OF A NEW DIRECTION OF THE HOLY SPIRIT,9308 AVENUE M,BROOKLYN,NY,11236,3,201106,10,0,1,-8226089.025350263,4958687.025523394
EMMANUEL BAPTIST CHURCH,425 EASTLINE RD,BALLSTON,NY,12019,3,200706,10,0,1,-8218797.376064317,5307304.26832937
LIVING WORD BIBLE CHURCH INC,9102 97TH AVE,OZONE PARK,NY,11416,3,200906,10,0,1,-8220952.632725566,4965990.263349868
JOURNEY UNITED CHURCH OF CHRIST,PO BOX 357,SLINGERLANDS,NY,12159,3,200901,10,0,1,-8220376.443041219,5259383.544485166
FULL GOSPEL OF CHRIST FELLOWSHIP INC,76 WINDSOR LN,WILLINGBORO,NJ,8046,9,199112,10,1000000,1,-8338085.561286541,4869169.574445169
THE ROCK OF WATERBURY INC,513 MERIDEN RD,WATERBURY,CT,6705,3,200909,10,0,1,-8126491.25429854,5094178.259332931
EARTH RIVER AND ROCK SPIRITUAL FOUNDATION INC,525 MYRTLE AVE APT C1,BROOKLYN,NY,11205,3,201806,4,0,1,-8233595.2986144535,4967271.03405341
JUSTICE HOUSE OF PRAYER BOSTON INC,PO BOX 380815,CAMBRIDGE,MA,2238,9,200901,10,0,1,-7917358.443890953,5217108.241947797
DIWAN FOUNDATION,120 ANABEL TAYLOR HALL,ITHACA,NY,14853,3,201406,15,0,1,-8514395.485875253,5227947.353838831
THE REDEEMED CHRISTIAN CHURCH OF GOD JESUS HOUSE NEW YORK,11559 194TH ST,SAINT ALBANS,NY,11412,3,201301,10,0,1,-8210793.282037304,4967433.417924024
BOSTON JOYFUL CHURCH,50 QUINCY ST,CAMBRIDGE,MA,2138,3,201004,10,0,5,-7916384.954943969,5217544.177985193
EMPOWERMENT CHRISTIAN CHURCH INC,PO BOX 240698,DORCHESTER,MA,2124,3,201201,10,0,1,-7911475.320122022,5204356.992918328
HOBBS COMMUNITY FARM,178 OXHEAD RD,CENTEREACH,NY,11720,3,201012,15,0,1,-8137048.794805371,4993479.544559693
NEHEMIAH HOPE ALIVE MINISTRIES,223 EAST 95TH STREET,BROOKLYN,NY,11212,9,197210,10,1000000,5,-8229025.299558913,4962436.870404738
SPIRITUAL ASSEMBLY OF THE BAHAIS OF HADLEY TOWN,11 HIGH MEADOW RD,HADLEY,MA,1035,9,199505,10,1000000,1,-8076618.229991803,5216100.527515571
SONSHIP MINISTRIES INC,14572 ST APT E-11,BROOKLYN,NY,11209,3,201012,10,0,1,-8241357.272748996,4956340.984958738
KINGDOM OF GOD MINISTRIES OF LONG ISLAND,24 HOWARD DR,CORAM,NY,11727,3,201308,10,0,1,-8124586.577811066,4993865.400724998
EASTERN DIOCESE OF THE POLISH NATL CATHOLIC CHURCH OF AMERICA,166 PEARL ST,MANCHESTER,NH,3104,3,201205,10,0,5,-7954582.234458849,5311405.489952495
BUFFALO KAREN BAPTIST CHURCH,301 14TH STREET,BUFFALO,NY,14213,9,195504,10,1000000,1,-8781865.386752537,5298067.278718194
SPRING VALLEY NEW TESTAMENT CHURCH OF GOD,46 N MAIN ST,SPRING VALLEY,NY,10977,9,197210,10,1000000,5,-8242597.817154397,5029107.081578724
DIVINE TRUTH APOSTOLIC CHURCH,PO BOX 551,PLAINVILLE,CT,6062,3,201109,10,0,1,-8111568.653918713,5110795.302616125
LA CUEVA DE ADULAM,226 ADAMS ST,BEDFORD HILLS,NY,10507,3,201302,10,0,1,-8203758.780775093,5047617.866894237
MIRACLES SIGNS AND WONDERS MINISTRIES INTERNATIONAL INC,5021 AVENUE D,BROOKLYN,NY,11203,3,201107,10,0,1,-8229690.099557929,4959711.128502082
GROWING TO PERFECTION REDEMPTION MINISTRY INC,454 ROCKAWAY AVE,BROOKLYN,NY,11212,3,201409,10,0,1,-8227684.344972817,4963615.027247466
MT CARMEL BAPTIST CHURCH OF ARVERNE C/O MINISTRY MANAGEMENT RESOURCES,348 BEACH 71ST ST,ARVERNE,NY,11692,3,199602,10,1000000,1,-8215352.817060703,4952338.978672851
UNITED METHODIST FOUNDATION OF NEW ENGLAND,PO BOX 134,SALEM,NH,3079,3,194306,15,29000000,2,-7929032.073612481,5278935.428312099
FRYEBURG NEW CHURCH ASSEMBLY,61 CLARK LN,WALTHAM,MA,2451,3,200206,10,29325000,1,-7930722.571399672,5219356.09694255
SABIQUN NEIGHBORHOOD DEVELOPMENT CHARITABLE TR,301 CENTRAL AVE,ROCHESTER,NY,14605,3,200712,10,0,1,-8639406.828758135,5336748.417660059
