County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
Calhoun County,Arkansas,48.1,51.9,6.44,19.46,6.86,10.52,16.49,13.09,11.18,8.13,7.83,74.51,23.38,0.21,0.03,0,0.92,0.94,1.5,73.96,44.39,33.56,13.88,3.39,4.77
Carroll County,Arkansas,49.34,50.66,7.59,17.72,7.79,10.49,14.61,14.5,11.47,8.83,6.99,93.63,0.11,0.88,0.41,0.08,3.34,1.55,9.74,87.74,44.61,32.17,13.16,4.27,5.78
Chicot County,Arkansas,48.49,51.51,8.37,20.53,8.38,11.26,13.85,12.38,9.84,8.38,7.02,43.24,53.96,0.13,0.4,0.02,1.41,0.85,2.88,42.36,53.72,27.68,10.91,3.81,3.89
Clark County,Arkansas,48.1,51.9,7.09,17.21,18.81,10.17,12.24,11.31,8.59,7.42,7.16,74.28,22.02,0.46,0.62,0.04,1.37,1.2,2.4,73.48,44.68,30.27,14.98,6.13,3.95
Clay County,Arkansas,48.33,51.67,7.14,17.28,7.55,10.51,13.6,12.76,11.8,9.97,9.38,98.08,0.19,0.69,0.08,0,0.15,0.81,0.8,97.55,49.33,32.71,11.4,3.68,2.88
Cleburne County,Arkansas,48.42,51.58,6.21,16.24,6.29,9.19,14.04,13.03,13.91,12.08,9.01,98.2,0.12,0.47,0.15,0.02,0.15,0.89,1.17,97.28,38.51,36.66,14.56,5.39,4.88
Cleveland County,Arkansas,48.83,51.17,8.03,19.46,7.71,11.77,14.82,13.39,11.26,7.46,6.1,84.79,13.22,0.32,0.14,0.04,0.68,0.83,1.62,83.99,38.12,34.66,17.39,5.88,3.95
Columbia County,Arkansas,47.63,52.37,7.32,19.61,11.62,10.55,13.57,11.88,9.55,8,7.91,62.08,36.06,0.26,0.34,0.03,0.46,0.77,1.05,61.62,46.07,27.04,15.41,6.32,5.17
Conway County,Arkansas,48.55,51.45,7.76,19.1,8,10.55,15,12.99,10.48,8.5,7.63,84.27,13.05,0.5,0.23,0.03,0.74,1.18,1.77,83.46,40.62,31.51,16.45,6.39,5.02
Craighead County,Arkansas,48.41,51.59,8.22,17.7,13.83,12.81,14.26,12.78,8.64,6.24,5.52,89.27,7.78,0.33,0.6,0.02,0.93,1.06,2.12,88.24,38.59,31.37,16.44,7.43,6.17
Crawford County,Arkansas,49.42,50.58,8.92,20.69,8.23,11.96,16.09,13.32,9.51,6.51,4.76,92.19,0.87,2.01,1.19,0.02,1.48,2.24,3.27,90.73,36.21,37.21,16.13,6.06,4.39
Crittenden County,Arkansas,47.65,52.35,10.16,22.43,9.18,12.46,15.3,12.27,8.24,5.32,4.62,50.91,47.05,0.24,0.47,0.02,0.66,0.64,1.42,50.41,41.16,31.53,16.03,6.15,5.13
Cross County,Arkansas,48.45,51.55,8.23,21.16,8.15,11.1,15.1,12.97,9.63,7.15,6.51,74.8,23.7,0.23,0.31,0.01,0.21,0.74,0.93,74.39,43.77,32.34,14.89,4.16,4.84
Dallas County,Arkansas,48.53,51.47,7.21,20.5,7.73,9.88,13.63,14.35,9.72,8.39,8.59,56.96,40.98,0.24,0.23,0,1.01,0.59,1.92,56.38,47.38,33.18,13.11,2.77,3.56
Desha County,Arkansas,46.69,53.31,8.91,21.52,8.78,10.02,13.91,13.06,9.64,7.15,7.01,50.5,46.33,0.35,0.3,0.03,1.73,0.76,3.16,49.61,51.5,25.43,13.48,5.23,4.36
Drew County,Arkansas,48.49,51.51,8.02,19.71,11.98,11.52,14.45,12.43,9.06,6.89,5.94,70.3,27.16,0.25,0.42,0.02,1,0.85,1.76,69.68,43.88,29.25,15.6,5.52,5.74
Faulkner County,Arkansas,48.84,51.16,8.24,19.36,14.93,13,15.52,11.96,7.5,5.16,4.33,88.33,8.48,0.52,0.72,0.03,0.68,1.23,1.75,87.45,32.14,31.59,19.77,8.84,7.66
Franklin County,Arkansas,49.49,50.51,7.61,19.84,8.11,10.92,14.56,12.79,10.4,8.01,7.75,96.17,0.62,0.8,0.26,0.06,0.74,1.35,1.74,95.34,40.64,36.03,15.9,3.84,3.6
Fulton County,Arkansas,48.98,51.02,6.5,17.33,6.17,9.34,13.43,13.77,13.25,11.37,8.84,97.67,0.2,0.67,0.21,0,0.06,1.19,0.53,97.29,48.99,32.21,11.97,3.55,3.28
Garland County,Arkansas,48.55,51.45,6.62,15.89,7.02,10.1,14.12,13.48,11.59,11.37,9.8,88.85,7.8,0.61,0.5,0.03,0.72,1.49,2.56,87.26,39.21,33.19,14.77,6.75,6.08
Grant County,Arkansas,49.62,50.38,7.78,19.43,8.03,12,16.31,13.99,10.28,6.74,5.44,95.55,2.47,0.45,0.13,0.03,0.64,0.73,1.15,95.13,31.64,35.75,18.8,8.39,5.42
Greene County,Arkansas,48.8,51.2,8.05,18.52,9.09,12.52,14.86,13.03,10.02,7.57,6.34,97.45,0.13,0.42,0.17,0.02,0.47,1.34,1.16,96.82,40.31,35.18,15.48,5.09,3.93
Hempstead County,Arkansas,48.36,51.64,8.95,19.81,9.48,11.48,14.48,12.42,9.27,7.31,6.79,63.28,30.36,0.42,0.17,0.02,4.17,1.59,8.25,59.81,44.28,32.73,14.55,4.82,3.61
Hot Spring County,Arkansas,48.85,51.15,7.7,18.6,7.97,10.82,14.62,13.97,10.57,8.59,7.17,87.33,10.26,0.45,0.22,0.04,0.44,1.26,1.27,86.63,38.45,36.38,17.35,4.94,2.87
Howard County,Arkansas,48.76,51.24,8.03,20.36,8.36,11.45,15.06,12.18,9.46,7.27,7.83,73.6,21.86,0.41,0.5,0.01,2.76,0.86,5.08,71.47,42.93,31.22,16.33,4.43,5.09
Independence County,Arkansas,49.06,50.94,7.64,18.56,8.62,11.13,15.44,13.84,10.29,7.72,6.76,94.91,2.04,0.45,0.65,0.03,0.64,1.28,1.53,94.22,38.89,34.51,17.46,5,4.14
Izard County,Arkansas,50.71,49.29,6.2,15.75,6.94,10.16,13.99,12.74,13.08,10.95,10.18,96.41,1.44,0.63,0.11,0.02,0.26,1.13,1,95.87,48.91,33.69,10.75,3.85,2.8
Jackson County,Arkansas,47.71,52.29,6.82,16.99,10.92,10.34,14.58,13.43,10.39,8.57,7.95,80.57,17.56,0.33,0.18,0.01,0.4,0.95,1.27,79.95,49.86,28.94,13.04,3.45,4.71
Jefferson County,Arkansas,48.94,51.06,8.18,19.83,10.43,11.48,15.05,13.36,8.74,6.6,6.32,48.46,49.58,0.24,0.66,0.04,0.26,0.76,0.96,48.03,41.52,29.52,15.83,7.59,5.55
Johnson County,Arkansas,49.74,50.26,7.93,18.59,9.72,11.61,14.64,12.55,10.18,7.8,6.96,93.69,1.37,0.62,0.25,0.01,2.62,1.43,6.7,90.04,44.81,33.28,14.4,3.87,3.64
Lafayette County,Arkansas,48.36,51.64,7.45,19.35,7.55,9.72,13.82,13.18,11.2,8.75,8.97,62.08,36.49,0.37,0.22,0.01,0.2,0.63,1.03,61.48,50.26,27.8,12.89,5.4,3.64
Lawrence County,Arkansas,48.35,51.65,7.61,17.93,9.2,10.87,13.78,12.5,10.69,8.79,8.62,97.78,0.44,0.57,0.05,0.01,0.12,1.02,0.68,97.36,46.02,34.5,13.03,3.56,2.88
Lee County,Arkansas,52.7,47.3,7.64,19.84,10.32,12.79,14.33,12.44,8.66,7.07,6.9,41.41,57.24,0.16,0.27,0,0.52,0.4,2.19,40.33,56.77,27.19,10.36,2.57,3.11
Lincoln County,Arkansas,58.72,41.28,6.82,16.85,12.48,14.23,17.33,12.47,7.94,5.93,5.94,64.88,32.92,0.4,0.06,0.01,0.99,0.75,1.81,64.28,42.69,33.27,13.95,6.43,3.66
Little River County,Arkansas,48.65,51.35,8.2,18.43,8.07,10.92,13.69,14.19,11.43,7.93,7.14,74.52,21.27,1.45,0.2,0.03,0.86,1.67,1.72,73.84,41.88,31.17,15.67,6.09,5.18
Logan County,Arkansas,49.6,50.4,7.83,19.35,7.36,10.88,14.69,13.15,10.73,8.18,7.82,96.46,1.05,0.65,0.15,0.02,0.39,1.28,1.21,95.74,44.12,34.92,13.57,3.77,3.62
Lonoke County,Arkansas,49.19,50.81,8.58,21.55,7.76,12.58,17.21,12.9,9.03,5.62,4.78,91.03,6.44,0.49,0.42,0.03,0.51,1.08,1.75,90.02,28.84,32.39,22.46,9.91,6.4
Madison County,Arkansas,49.93,50.07,7.89,20.3,7.15,10.58,15.37,14.05,10.29,7.62,6.75,95.94,0.11,1.22,0.06,0.09,1.47,1.1,3.06,94.52,45.06,35.5,12,3.98,3.46
Marion County,Arkansas,49.48,50.52,6.13,17.2,5.58,8.38,14.15,14.47,14.06,11.23,8.79,97.52,0.12,0.76,0.2,0.05,0.13,1.22,0.76,96.94,46.23,34.56,12.6,3.56,3.05
Miller County,Arkansas,48.73,51.27,8.81,19.18,9.54,12.6,14.65,12.93,9.17,6.86,6.27,74.02,22.99,0.63,0.37,0.02,0.54,1.43,1.58,73.2,41.25,29.05,17.65,6.53,5.53
Mississippi County,Arkansas,47.86,52.14,9.76,21.42,9.68,11.65,14.52,12.25,8.5,6.56,5.66,64.45,32.7,0.26,0.38,0.03,1.07,1.12,2.25,63.56,46,29.89,13.53,6.2,4.37
Monroe County,Arkansas,46.94,53.06,8.32,21.05,7.19,9.13,13.58,13.01,10.43,8.73,8.57,59.37,38.79,0.26,0.13,0.04,0.26,1.14,1.29,58.54,54.38,29.06,10.52,2.95,3.09
Montgomery County,Arkansas,49.02,50.98,7.26,17.56,5.95,9.84,14.15,13.34,12.99,10.49,8.43,95.42,0.29,1.11,0.37,0.01,1.56,1.23,2.53,94.54,42.82,36.97,12.43,4.17,3.61
Nevada County,Arkansas,48.55,51.45,7.48,19.37,8.1,11.06,14.02,13.74,10.1,7.9,8.24,66.9,31.18,0.38,0.06,0,0.85,0.62,1.52,66.48,46.68,31.14,14.88,3.92,3.38
Newton County,Arkansas,50.56,49.44,6.9,19.4,7.13,9.55,14.54,14.89,12.76,7.83,6.99,97.41,0.14,0.56,0.16,0.01,0.41,1.31,1.08,96.81,50.44,33.32,11.06,2.19,2.99
Ouachita County,Arkansas,47.32,52.68,7.43,19.86,7.6,9.94,14.61,13.92,9.71,8.7,8.23,59.74,38.64,0.25,0.24,0.03,0.26,0.83,0.73,59.44,43.86,31.62,16.14,4.52,3.86
Perry County,Arkansas,49.57,50.43,7.57,19.01,7.09,11.76,15.24,13.5,11.05,8.24,6.53,95.62,1.73,0.98,0.15,0.02,0.39,1.11,1.18,95.12,37.93,35.76,16.08,5.08,5.15
Phillips County,Arkansas,45.87,54.13,10.26,23.63,8.75,9.44,12.77,11.78,9.44,7.57,6.36,39.25,59.04,0.17,0.32,0.01,0.43,0.78,1.44,38.74,53.57,28.76,10.29,3.45,3.93
Pike County,Arkansas,49.28,50.72,7.71,18.38,7.19,10.99,14.27,12.84,11.65,8.1,8.87,92.04,3.47,0.65,0.16,0.02,2.6,1.07,3.57,91.21,45.44,33.26,12.16,5.35,3.79
Poinsett County,Arkansas,48.61,51.39,8.15,19.32,8.68,11.5,14.37,13.07,10.63,7.67,6.61,90.98,7.13,0.23,0.16,0.02,0.74,0.75,1.43,90.47,47.34,32.54,13.18,4.13,2.81
Polk County,Arkansas,49.23,50.77,8.01,18.98,7.68,10.54,13.31,12.98,11.49,9.04,7.96,94.69,0.16,1.49,0.21,0.06,1.72,1.67,3.5,93.11,49.68,31.19,11.97,3.81,3.36
Pope County,Arkansas,49.07,50.93,7.93,19.41,11.06,11.85,15.11,12.88,9.02,6.79,5.96,93.73,2.61,0.68,0.64,0.03,0.93,1.39,2.06,92.78,38.52,32.1,17.26,6.5,5.63
Prairie County,Arkansas,49.24,50.76,7.21,18.06,7.21,10.35,14.71,13.79,11.36,8.69,8.62,84.83,13.71,0.36,0.18,0,0.28,0.64,0.81,84.5,43.6,32.36,15.33,4.6,4.11
Pulaski County,Arkansas,47.91,52.09,8.54,17.98,9.83,13.68,15.87,14.15,8.49,5.97,5.49,63.96,31.87,0.39,1.25,0.04,1.09,1.4,2.44,62.91,31.72,31.56,18.15,8.6,9.96
Randolph County,Arkansas,48.99,51.01,7.14,18.79,8.07,10.48,14.16,13.44,10.9,9.25,7.78,96.99,0.97,0.53,0.07,0.01,0.27,1.15,0.82,96.5,45.16,33.67,12.73,5.24,3.2
St. Francis County,Arkansas,51.37,48.63,9.16,20.27,9.74,12.35,15.36,12.8,8.45,6.41,5.45,48.36,49.01,0.25,0.56,0.02,0.4,1.4,4.88,45.09,48.25,30.77,13.6,3.39,3.99
Saline County,Arkansas,49.52,50.48,7.78,18.9,7.71,12.5,16.43,13.76,10.45,7.34,5.13,95.27,2.2,0.49,0.57,0.03,0.45,1,1.3,94.54,24.91,34.19,23.36,10.71,6.83
Scott County,Arkansas,50.48,49.52,8.68,19.33,7.71,11.01,14.38,12.46,11.77,8.07,6.59,93.53,0.23,1.4,0.95,0.01,2.56,1.32,5.71,90.51,46.58,34.51,12.21,4.08,2.63
Searcy County,Arkansas,49.49,50.51,6.65,17.21,6.77,9.41,14.03,14.54,12.15,10.27,8.98,97.26,0.04,0.75,0.15,0.01,0.45,1.34,1.04,96.76,55.79,30.48,9.57,2.43,1.73
Sebastian County,Arkansas,48.79,51.21,8.79,18.64,9.15,12.62,15.5,13.23,9.12,6.56,6.4,82.34,6.16,1.57,3.51,0.05,3.71,2.67,6.7,79.96,35.96,32.83,16.96,7.03,7.23
Sevier County,Arkansas,49.77,50.23,9.44,20.33,9.39,12.83,13.5,12.05,9.28,6.89,6.29,79.61,4.94,1.82,0.13,0.06,11.84,1.61,19.72,72.49,41.06,35.19,14.49,5.43,3.84
Sharp County,Arkansas,48.02,51.98,6.48,16.57,6.02,9.23,12.62,12.8,12.67,13.07,10.54,97.14,0.49,0.68,0.12,0.02,0.16,1.39,0.98,96.4,49.68,34.57,9.18,2.9,3.66
Stone County,Arkansas,49.22,50.78,6.44,16.91,6.78,8.63,14.18,14.39,14.11,10.85,7.71,97.27,0.08,0.77,0.05,0.03,0.15,1.64,1.08,96.46,53.97,29.23,10.35,2.41,4.03
Union County,Arkansas,47.81,52.19,7.8,19.63,7.85,10.76,15.12,13.38,9.36,7.78,8.33,66.15,31.97,0.24,0.4,0.01,0.46,0.77,1.14,65.64,42.24,30.63,15.63,6.15,5.35
Van Buren County,Arkansas,49.15,50.85,6.19,16.56,6.22,9,13.16,12.81,12.73,12.55,10.78,96.79,0.31,0.75,0.25,0.04,0.37,1.48,1.33,96.04,45.83,34.11,11.77,3.62,4.67
Washington County,Arkansas,50.1,49.9,8.78,18.05,15.32,13.81,14.64,12.04,7.47,5.22,4.67,88,2.24,1.25,1.54,0.53,4.26,2.17,8.2,84.56,35.49,32.8,17.91,7.06,6.74
White County,Arkansas,48.76,51.24,7.6,18.61,12.18,11.47,14.46,12.56,9.34,7.16,6.62,93.52,3.56,0.43,0.32,0.03,0.82,1.31,1.88,92.57,39.01,33.46,16.67,5.87,4.99
Woodruff County,Arkansas,47.16,52.84,8.41,19.06,7.95,9.75,13.73,14.3,10.12,8.1,8.58,67.86,30.75,0.23,0.07,0.1,0.17,0.81,0.79,67.49,53.73,28.76,11.55,3.46,2.5
Yell County,Arkansas,49.88,50.12,8.09,19.14,8.93,12.13,14.67,12.23,9.77,7.65,7.38,86.63,1.47,0.58,0.69,0.03,8.99,1.62,12.73,83.49,43.44,33.76,13.97,4.94,3.9
Alameda County,California,49.13,50.87,8.25,17.59,9.85,15.15,17.23,13.89,7.82,5.24,4.98,48.79,14.93,0.63,20.45,0.63,8.94,5.63,18.97,40.94,21.18,23.29,19.77,13.55,22.21
Alpine County,California,52.57,47.43,6.13,17.96,10.02,9.35,17.3,19.04,10.26,6.21,3.73,73.68,0.58,18.87,0.33,0.08,1.41,5.05,7.78,71.77,29.07,28.86,22.97,9.35,9.76
Amador County,California,55.07,44.93,5.19,17.07,6.16,9.04,16.26,16.18,12.08,9.84,8.19,85.79,3.87,1.78,1,0.1,5.04,2.41,8.91,82.39,27.43,29.88,19.75,12.2,10.74
Butte County,California,49,51,6.98,18.87,13.11,10.06,13.41,13.2,8.6,7.48,8.29,84.52,1.39,1.9,3.32,0.15,4.82,3.9,10.5,80.01,39.63,30.31,16.23,7.09,6.74
Calaveras County,California,49.62,50.38,5.59,18.35,5.01,7.04,14.69,16.93,14.22,10.66,7.52,91.19,0.75,1.74,0.85,0.09,2.07,3.31,6.82,87.45,29.28,31.19,19.06,10.32,10.15
Colusa County,California,50.83,49.17,9.84,23.56,9.7,11.33,14.36,12.05,7.8,5.92,5.44,64.29,0.55,2.33,1.21,0.39,26.68,4.54,46.54,47.96,34.4,33.42,17.91,7.99,6.28
Contra Costa County,California,48.83,51.17,8.45,19.33,7.61,12.19,17.26,14.96,8.9,5.77,5.54,65.5,9.36,0.61,10.96,0.37,8.06,5.13,17.68,57.9,16.25,21.97,20.17,14.89,26.72
Del Norte County,California,55.21,44.79,6.78,19.65,7.98,13.08,17.73,13.71,8.55,6.73,5.81,78.86,4.3,6.43,2.32,0.08,3.92,4.08,13.92,70.14,44.37,27.09,15.43,7.34,5.78
El Dorado County,California,49.88,50.12,7.07,20.39,6.31,9.16,17.79,17.09,9.83,7.01,5.36,89.71,0.52,1,2.13,0.13,3.55,2.96,9.32,84.92,20.64,27.65,21.3,13.24,17.17
Fresno County,California,50.1,49.9,10.27,23.54,10.78,12.56,14.49,11.53,6.92,5.15,4.76,54.3,5.3,1.6,8.05,0.13,25.9,4.73,43.99,39.72,35.96,30.45,16.93,8.06,8.6
Glenn County,California,50.55,49.45,9.21,23.1,8.39,10.92,14.7,12.12,8.6,6.78,6.19,71.78,0.59,2.09,3.38,0.13,18.18,3.86,29.64,62.56,38.26,35.29,14.97,6.71,4.76
Humboldt County,California,49.43,50.57,6.81,18.15,12.21,11.11,14.76,15.7,8.78,6.34,6.13,84.71,0.88,5.72,1.65,0.19,2.45,4.39,6.49,81.59,40.83,30.66,15.88,6.8,5.82
Imperial County,California,52.21,47.79,9.29,23.8,9.69,13.26,15.73,11.34,6.85,5.9,4.15,49.37,3.95,1.87,1.99,0.08,39.08,3.65,72.22,20.21,40.53,28.65,16.55,7.11,7.15
Inyo County,California,48.82,51.18,6.54,19.02,5.19,7.74,15.12,16.22,11.06,9.97,9.13,80.06,0.16,10.04,0.91,0.08,4.6,4.15,12.58,74.41,36.52,29.25,17.89,7.9,8.45
Kern County,California,51.29,48.71,10.23,23.34,9.98,12.7,15.67,11.57,7.13,5.18,4.2,61.6,6.02,1.51,3.37,0.15,23.22,4.14,38.39,49.45,35.73,29.65,17.46,8.84,8.31
Kings County,California,57.42,42.58,9.65,20.91,12.06,16.05,17.12,10.76,6.07,4.07,3.31,53.68,8.3,1.68,3.07,0.19,28.28,4.79,43.61,41.57,33.9,32.41,17.91,8.27,7.51
Lake County,California,49.39,50.61,6.5,18.71,5.63,8.45,14.41,15.27,11.55,10.46,9.02,86.25,2.11,3.04,0.83,0.16,4.11,3.5,11.39,80.49,42.44,30.96,13.86,7.28,5.45
Lassen County,California,62.79,37.21,6.09,17.06,11.22,16.39,18.82,14.32,7.07,5.05,3.98,80.81,8.84,3.26,0.74,0.43,3.23,2.69,13.84,70.63,34.13,31.93,19.14,8.23,6.57
Los Angeles County,California,49.42,50.58,9.41,20.07,10.44,15.03,15.94,12.07,7.31,5.18,4.56,48.71,9.78,0.81,11.95,0.28,23.53,4.94,44.56,31.09,29.72,27.21,17.81,10.16,15.1
Madera County,California,47.85,52.15,9.32,21.94,9.58,12.34,15.39,12.47,7.92,6.23,4.81,62.23,4.12,2.61,1.27,0.17,24.35,5.25,44.28,46.62,34.1,31.87,18.41,7.46,8.16
Marin County,California,49.56,50.44,6.51,14.67,5.61,11.95,18.03,18.44,11.27,6.79,6.73,84.03,2.89,0.43,4.53,0.16,4.5,3.47,11.06,78.55,14.56,19.41,18.11,12.85,35.08
Mariposa County,California,51.15,48.85,5.31,17.52,6.58,8.56,15.64,16.08,13.14,9.76,7.4,88.93,0.67,3.51,0.71,0.13,2.67,3.38,7.76,84.87,37,29.23,18.55,8.1,7.11
Mendocino County,California,49.73,50.27,7.32,19.65,7.76,10.12,14.43,16.92,10.21,6.93,6.65,80.76,0.62,4.76,1.2,0.15,8.61,3.9,16.48,74.86,34.55,30.93,17.86,8.15,8.51
Merced County,California,49.84,50.16,10.8,25.49,9.84,12.12,14.41,10.88,6.96,5.28,4.22,56.21,3.83,1.19,6.8,0.19,26.13,5.65,45.34,40.65,34.13,32.34,18.51,8.13,6.89
Modoc County,California,50.59,49.41,7.08,19.81,5.23,8.58,13.98,15.99,11.73,9.57,8.03,85.94,0.69,4.21,0.61,0.07,5.69,2.78,11.51,81.1,44.69,27.93,14.87,7.43,5.07
Mono County,California,54.92,45.08,6.82,17.39,10.65,13.5,18.41,16.06,9.59,5.2,2.4,84.17,0.47,2.4,1.11,0.09,9.51,2.25,17.69,76.53,23.77,32.19,24.19,8.29,11.56
Monterey County,California,51.76,48.24,9.4,20.55,10.91,14.34,15.43,12.26,7.08,5.32,4.71,55.92,3.75,1.05,6.03,0.45,27.82,4.98,46.79,40.33,22.52,29.35,20.95,11.94,15.24
Napa County,California,49.9,50.1,7.4,18.11,8.2,11.4,15.19,14.8,9.53,7,8.36,79.98,1.32,0.84,2.97,0.23,10.95,3.71,23.67,69.14,20.32,27.71,20.15,13.27,18.56
Nevada County,California,49.57,50.43,5.78,18.57,5.63,7.98,15.34,17.89,11.38,9.08,8.36,93.39,0.28,0.88,0.78,0.09,1.94,2.64,5.65,90.29,24.31,30.01,21.41,10.82,13.45
Orange County,California,49.75,50.25,9.21,19.17,9.53,14.9,16.77,12.67,7.89,5.22,4.64,64.81,1.67,0.7,13.59,0.31,14.8,4.12,30.76,51.26,17.39,24.52,20.66,13.95,23.48
Placer County,California,49.07,50.93,7.85,19.93,6.54,10.85,17.27,15.18,9.28,6.97,6.14,88.59,0.82,0.89,2.95,0.16,3.39,3.21,9.67,83.43,17.41,25.17,22,14.87,20.54
Plumas County,California,49.96,50.04,5.49,18.39,5.45,7.35,14.61,17.27,13.55,10.24,7.65,91.78,0.62,2.55,0.53,0.1,1.81,2.61,5.65,88.71,35.75,29.07,20.12,7.71,7.35
Riverside County,California,49.79,50.21,9.62,22.23,8.91,12,15.67,11.39,7.5,6.67,6.01,65.58,6.24,1.18,3.69,0.25,18.69,4.37,36.21,51.04,28.17,28.71,19.9,11.06,12.16
Sacramento County,California,48.94,51.06,8.83,20.16,9.49,13.28,16.27,13.14,7.74,5.81,5.29,64.02,9.96,1.09,11.03,0.59,7.48,5.84,16.01,57.76,26.2,30,20.5,10.97,12.34
San Benito County,California,50.61,49.39,10.68,22.96,8.62,13.41,16.9,12.42,6.91,4.47,3.64,65.17,1.08,1.16,2.4,0.19,24.87,5.14,47.93,46.05,18.06,24.28,21.53,16.35,19.78
San Bernardino County,California,49.9,50.1,10.2,23.7,10.05,12.84,15.95,11.91,6.77,4.75,3.82,58.91,9.09,1.17,4.69,0.3,20.82,5.03,39.16,44,28.66,29.26,20.36,10.76,10.96
San Diego County,California,50.29,49.71,8.54,18.63,11.45,14.17,16.25,12.54,7.27,5.69,5.46,66.52,5.74,0.86,8.88,0.48,12.82,4.69,26.69,55.04,24.32,28.32,20.12,11.53,15.71
San Francisco County,California,50.83,49.17,4.88,10.53,10.42,21.01,17.23,13.87,8.4,6.95,6.71,49.66,7.79,0.45,30.84,0.49,6.48,4.28,14.1,43.63,23.28,22.25,17.67,12.12,24.68
San Joaquin County,California,49.97,50.03,9.7,22.97,9.57,12.13,15.37,12.2,7.45,5.44,5.17,58.13,6.69,1.13,11.41,0.35,16.26,6.05,30.53,47.37,30.09,28.75,19.53,10.98,10.65
San Luis Obispo County,California,51.36,48.64,6.14,17.52,12.81,10.22,15.57,14.65,8.62,7.33,7.13,84.6,2.03,0.95,2.66,0.12,6.21,3.44,16.29,76.15,28.05,29.23,20.19,10.5,12.04
San Mateo County,California,49.44,50.56,7.71,16.31,8.22,14.46,17.35,14.5,8.98,6.33,6.13,59.49,3.51,0.44,20.04,1.33,10.17,5.02,21.88,49.83,13.53,20,19.38,14.82,32.27
Santa Barbara County,California,50.02,49.98,7.9,18.62,13.11,12.51,15.06,12.27,7.82,6.34,6.37,72.72,2.3,1.2,4.09,0.18,15.2,4.31,34.22,56.86,24.69,28.31,19.38,11.59,16.02
Santa Clara County,California,50.69,49.31,8.52,17.52,9.6,16.15,17.64,13,8.02,5.18,4.36,53.83,2.8,0.67,25.56,0.34,12.13,4.66,23.98,44.23,13.39,18.16,18.81,15.03,34.61
Santa Cruz County,California,49.91,50.09,7.33,18.2,11.55,12.95,16.47,15.91,7.62,4.83,5.14,75.09,0.97,0.96,3.44,0.15,15.02,4.37,26.79,65.52,21.28,25.04,19.04,12.73,21.91
Shasta County,California,48.74,51.26,7.24,20.37,7.61,9.4,14.97,14.74,10.45,7.92,7.31,89.32,0.75,2.77,1.87,0.11,1.71,3.47,5.51,86.43,36.68,31.24,17.46,7.41,7.21
Sierra County,California,50.49,49.51,5.43,19.07,4.28,8.1,15.19,17.24,13,9.45,8.24,94.18,0.2,1.88,0.17,0.08,1.04,2.45,5.99,90.3,33.29,35,17.93,7.68,6.11
Siskiyou County,California,49.1,50.9,6.19,19.2,6.06,7.58,14.37,16.8,11.65,9.54,8.6,87.07,1.31,3.9,1.19,0.13,2.76,3.65,7.57,83.32,44.3,29.6,14.6,5.79,5.71
Solano County,California,50.36,49.64,8.86,20.88,9.07,12.9,17.14,14.02,7.64,5.13,4.35,56.37,14.91,0.79,12.75,0.78,8.01,6.39,17.64,49.24,18.78,26.68,22.7,15.36,16.48
Sonoma County,California,49.24,50.76,7.31,18.53,8.61,11.57,16.49,16.1,8.75,5.97,6.67,81.6,1.42,1.18,3.07,0.2,8.44,4.09,17.34,74.5,19.8,26.55,22.06,13.5,18.08
Stanislaus County,California,49.2,50.8,9.67,23.06,9.53,12.32,15.42,12.14,7.41,5.46,4.99,69.33,2.58,1.27,4.22,0.34,16.82,5.44,31.74,57.27,30.29,30.64,20.07,9.92,9.08
Sutter County,California,49.49,50.51,8.83,21.56,8.96,11.99,14.98,12.48,8.84,6.8,5.56,67.52,1.91,1.55,11.26,0.2,12.96,4.6,22.21,60.22,32.5,29.82,18.94,9.66,9.08
Tehama County,California,49.42,50.58,7.76,21.16,7.2,9.92,14.83,13.01,10.19,8.44,7.48,84.79,0.57,2.1,0.79,0.1,8.26,3.39,15.83,78.47,39.7,32.35,16.16,6.73,5.05
Trinity County,California,51.02,48.98,5.34,18.81,4.48,7.16,14.85,18.43,13.7,10.27,6.93,88.87,0.45,4.85,0.47,0.12,0.88,4.38,3.97,86.55,44.54,32.19,12.74,5.07,5.46
Tulare County,California,50,50,10.83,24.72,10.25,12.17,14.02,11.21,7.04,5.16,4.6,58.08,1.59,1.56,3.27,0.11,30.79,4.6,50.77,41.82,36.59,31.71,16.77,7.29,7.64
Tuolumne County,California,52.73,47.27,5.45,16.52,7.26,9.46,14.98,16.31,11.55,10.17,8.3,89.45,2.1,1.82,0.72,0.17,2.89,2.84,8.16,85.09,30.94,32.56,19.77,8.09,8.65
Ventura County,California,49.92,50.08,9.08,20.81,8.77,12.58,16.86,13.64,8.06,5.34,4.85,69.93,1.95,0.94,5.35,0.22,17.68,3.93,33.42,56.75,17.2,23.82,21.18,15.01,22.79
