County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
Skagway-Hoonah-Angoon Census Area,Alaska,53.78,46.22,6.66,21.36,7.04,10.45,17.87,18.89,10.39,4.54,2.79,58.15,0.15,35.01,0.38,0.15,0.96,5.21,2.82,57.48,28.41,32.29,21.33,8.98,8.98
Southeast Fairbanks Census Area,Alaska,51.73,48.27,8.67,25.67,7.05,10.14,16.7,15.95,9.75,4.34,1.73,78.99,1.98,12.71,0.68,0.15,0.73,4.76,2.7,77.42,34.09,25.21,20.57,11.15,8.98
Valdez-Cordova Census Area,Alaska,53.24,46.76,8.1,22.83,6.69,10.46,19.41,18.49,7.99,3.85,2.17,75.9,0.32,13.25,3.55,0.26,1.13,5.58,2.81,74.66,24.92,26.11,19.36,13.29,16.32
Wade Hampton Census Area,Alaska,52.16,47.84,13.23,35.16,9.25,11.91,12.35,8.22,4.87,3.24,1.76,4.74,0.06,92.53,0.1,0.03,0.03,2.52,0.33,4.7,41.12,34.47,15.53,5.53,3.35
Wrangell-Petersburg Census Area,Alaska,52.02,47.98,7.99,22.8,5.51,10.68,17.49,17,9.05,5.03,4.46,73.04,0.22,16.07,1.62,0.13,1.11,7.81,1.97,72.5,24.18,30.29,20.04,11.86,13.63
Yakutat City and Borough,Alaska,59.28,40.72,6.19,23.14,4.83,10.89,20.92,20.17,8.54,3.96,1.36,50.37,0.12,39.6,1.24,0.74,0,7.92,0.74,50.25,22.93,31.2,27.44,12.03,6.39
Yukon-Koyukuk Census Area,Alaska,54.25,45.75,8.55,27.9,8.35,9.63,16.18,14.52,7.57,4.76,2.53,24.27,0.09,70.89,0.37,0.05,0.43,3.91,1.19,24.03,44.6,27.33,16.27,6.29,5.51
Apache County,Arizona,49.56,50.44,11.02,29.35,8.59,10.46,13.64,10.97,7.7,5.01,3.26,19.5,0.25,76.88,0.13,0.06,1.75,1.43,4.49,17.69,52.34,27.96,12.48,4.21,3.01
Cochise County,Arizona,50.41,49.59,8.13,19.77,8.92,10.69,14.09,13.06,10.6,8.65,6.1,76.66,4.52,1.15,1.65,0.26,12.05,3.72,30.69,60.09,38.25,32.24,16.95,7.19,5.38
Coconino County,Arizona,49.91,50.09,8.7,21.77,14.45,12.26,15.16,13.4,7.25,4.31,2.69,63.09,1.04,28.51,0.78,0.09,4.13,2.36,10.94,57.57,31.68,31.1,18.97,9.78,8.47
Gila County,Arizona,49.18,50.82,7.35,19.06,5.79,8.5,13.06,13.74,12.71,11.2,8.59,77.82,0.38,12.92,0.43,0.05,6.59,1.8,16.65,68.94,40.68,32.05,16.14,5.82,5.31
Graham County,Arizona,52.94,47.06,9.29,22.91,11.19,12.19,13.79,10.85,7.88,6.54,5.36,67.11,1.87,14.95,0.56,0.04,13.35,2.14,27.04,55.21,43.23,31.16,17,5.31,3.31
Greenlee County,Arizona,52.21,47.79,10.17,23.18,6.93,11.48,15.72,14.11,8.48,5.91,4.02,74.17,0.51,1.66,0.15,0.04,20.02,3.45,43.07,53.87,28.78,38.68,21.72,7.95,2.87
La Paz County,Arizona,51.35,48.65,6.06,16.12,6.01,7.64,11.8,12.18,14.38,16.58,9.23,74.15,0.79,12.53,0.41,0.1,9.35,2.68,22.42,63.77,48.19,32.19,11.88,4.11,3.63
Maricopa County,Arizona,50.01,49.99,9.43,18.94,10.36,14.31,15.49,11.93,7.85,6.15,5.54,77.35,3.73,1.85,2.16,0.14,11.86,2.91,24.85,66.22,24.26,30.61,20.72,11.17,13.25
Mohave County,Arizona,49.73,50.27,7.39,16.85,6.23,9.08,13.26,13.1,13.63,12.3,8.17,90.06,0.54,2.41,0.77,0.11,4,2.13,11.08,84.04,38.35,35.52,15.17,6.22,4.73
Navajo County,Arizona,49.68,50.32,10.33,26.83,8.2,10.28,13.94,11.67,8.74,6.22,3.79,45.91,0.88,47.74,0.33,0.05,3.15,1.94,8.22,42.27,44.3,30.32,14.72,6.32,4.34
Pima County,Arizona,48.9,51.1,7.96,18.24,10.74,12.08,14.94,13.1,8.78,7.46,6.7,75.07,3.03,3.22,2.04,0.13,13.3,3.21,29.34,61.48,32.86,32.05,17.69,8.39,9.01
Pinal County,Arizona,53.32,46.68,8.1,18.26,8.77,11.82,14.12,11.91,10.78,10.01,6.22,70.42,2.76,7.81,0.6,0.08,15.66,2.67,29.86,58.78,33.24,34.95,18.27,7.22,6.32
Santa Cruz County,Arizona,47.84,52.16,10.49,24.66,7.73,11.26,14.35,12.3,8.49,6.25,4.47,76,0.38,0.65,0.52,0.09,19.73,2.63,80.78,17.81,41.71,30.12,15.24,5.85,7.07
Yavapai County,Arizona,49.02,50.98,6.2,16.14,6.82,8.26,13.23,14.51,12.86,12.09,9.88,91.89,0.39,1.6,0.51,0.08,3.58,1.95,9.78,86.58,34.26,34.56,16.71,7.03,7.44
Yuma County,Arizona,50.49,49.51,9.65,20.73,9.83,11.27,13.09,9.94,8.97,9.96,6.57,68.28,2.22,1.64,0.93,0.12,23.59,3.22,50.47,44.34,37.14,34.56,15.83,6.51,5.96
Arkansas County,Arkansas,47.62,52.38,7.81,18.39,8.05,10.72,14.46,14.3,10.07,8.24,7.95,75.19,23.36,0.21,0.36,0,0.21,0.66,0.76,74.78,41.43,32.83,15.86,5.29,4.59
Ashley County,Arkansas,48.28,51.72,8.15,20.17,7.98,11.93,14.1,13.48,10.38,7.26,6.54,69.78,27.1,0.21,0.18,0.05,1.73,0.96,3.21,68.99,38.58,33.92,16.81,6.01,4.68
Baxter County,Arkansas,48,52,5.54,14.52,5.42,8.1,12.24,13.23,14.16,14.23,12.55,97.81,0.11,0.52,0.34,0.02,0.22,0.97,1,97.12,41.85,36.71,12.86,4.48,4.1
Benton County,Arkansas,49.34,50.66,8.99,18.93,8.57,12.98,15.11,11.86,9.24,7.95,6.37,90.87,0.41,1.65,1.09,0.08,4.08,1.82,8.78,86.76,27.29,35.74,20.33,7.77,8.86
Boone County,Arkansas,48.22,51.78,7.54,17.79,7.92,11.14,14.21,13.49,11.25,8.85,7.82,97.6,0.11,0.71,0.32,0.02,0.34,0.9,1.06,96.93,41.27,35.73,14.17,4.36,4.46
Bradley County,Arkansas,49.43,50.57,7.02,17.85,9.84,10.94,14.02,12.46,10.39,8.75,8.72,63.36,28.63,0.24,0.06,0.01,6.95,0.75,8.25,62.31,50.29,28.8,12.43,2.92,5.56
