State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Alabama,Franklin,49.63,50.37,8.48,17.61,9.27,11.23,11.65,13.07,12.48,9.41,6.81,82.34,3.88,1.03,0.87,0.02,10.11,1.74,17.78,76.28,22.81,24.63,18.32,16.27,17.88,38.4,1.82,17.47,88.35,11.65,138
Alabama,Geneva,48.44,51.56,6.82,16.37,6.99,10.24,11.22,13.97,14.38,11.48,8.53,86.02,10.04,1.2,0.16,0.04,1.02,1.52,4.12,83.25,24.23,26.15,16.41,13.94,19.24,37.64,1.46,17.71,88.27,11.73,140
Alabama,Greene,47.36,52.64,6.98,15.33,9.77,9.48,9.67,10.89,15.94,12.02,9.92,17.24,79.06,0.47,0.0,0.0,0.48,2.75,2.71,17.09,41.91,28.84,10.42,9.67,8.51,27.11,4.26,24.38,83.42,16.58,148
Alabama,Hale,47.52,52.48,8.8,17.44,8.31,10.78,9.61,11.73,14.54,11.09,7.69,38.26,59.27,0.0,0.19,0.0,0.1,2.18,0.07,38.26,30.08,22.75,17.46,9.67,20.04,33.74,3.22,18.01,91.75,8.25,150
Alabama,Henry,48.29,51.71,6.0,16.86,7.21,8.39,12.48,12.93,14.43,13.68,8.02,70.24,26.39,0.2,0.43,0.21,0.86,1.66,2.52,69.55,19.2,21.19,20.37,13.91,25.22,36.7,2.07,16.67,92.17,7.83,158
Alabama,Houston,47.74,52.26,7.38,17.02,7.88,11.61,12.27,12.78,13.42,10.35,7.29,68.25,27.22,0.28,0.95,0.02,0.65,2.63,3.39,65.85,19.95,22.7,18.06,13.2,25.85,38.89,2.33,16.74,88.58,11.42,160
Alabama,Jackson,48.84,51.16,6.25,16.01,7.6,10.04,12.21,13.44,14.67,11.75,8.03,91.3,3.56,1.09,0.43,0.07,0.85,2.7,2.96,89.36,20.5,27.85,20.49,11.97,18.9,34.78,1.93,21.25,89.9,10.1,164
Alabama,Jefferson,47.15,52.85,7.72,16.7,8.96,13.09,12.66,12.18,13.12,9.35,6.23,51.45,42.85,0.17,1.58,0.03,1.68,2.24,3.94,49.61,16.75,20.55,17.0,12.39,31.83,42.67,2.73,14.61,91.0,9.0,171
Alabama,Lamar,49.28,50.72,6.39,16.94,7.63,9.49,11.23,12.45,14.59,11.86,9.43,87.8,10.61,0.09,0.15,0.0,0.37,0.98,1.75,86.33,21.86,23.72,19.08,11.33,23.86,35.98,1.67,17.73,94.44,5.56,174
Alabama,Lauderdale,48.01,51.99,6.39,14.82,11.2,10.86,10.97,12.47,13.56,11.4,8.31,86.03,10.14,0.36,0.63,0.07,0.31,2.46,2.78,84.15,16.46,24.42,18.25,15.62,23.88,41.11,1.93,16.03,91.02,8.98,176
Alabama,Lawrence,47.86,52.14,6.39,16.62,7.72,10.82,11.26,14.3,15.04,10.86,7.0,78.34,10.51,6.0,0.12,0.07,0.5,4.46,2.28,76.59,18.17,26.96,19.41,11.64,23.82,37.14,1.19,20.82,90.76,9.24,181
Alabama,Lee,49.02,50.98,7.01,16.71,17.59,12.21,11.98,11.69,10.79,7.61,4.41,69.7,22.7,0.21,4.38,0.0,0.76,2.25,3.71,67.13,19.94,18.23,16.17,12.79,29.57,43.73,2.04,18.5,92.18,7.82,187
