State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
North Carolina,Swain,6826,7234,863,2557,1236,1427,1577,1873,1947,1546,1034,9062,73,4294,64,7,70,490,858,8549,3014,3388,3073,1813,2653,5400,319,2341,10925,3135,1784
North Carolina,Transylvania,16008,17537,1584,4022,2763,2891,3179,3831,5253,5471,4551,30763,1356,118,56,1,548,703,1121,30372,5121,8648,5973,5566,7407,12509,657,4751,28794,4751,1786
North Carolina,Tyrrell,1506,1707,135,406,359,207,263,486,486,362,509,2035,996,13,19,0,81,69,164,1986,788,715,907,448,350,1317,62,422,2811,402,1794
North Carolina,Union,115408,119148,16245,51676,18393,20784,31911,38301,28052,18377,10817,186264,26992,568,7804,68,5512,7348,26470,167851,17393,33900,36482,34837,110626,106451,4826,26164,214057,20499,1798
North Carolina,Vance,20542,23646,3164,7953,3813,4742,4717,5827,6068,4827,3077,18432,21731,499,375,0,1494,1657,3559,17218,10509,11510,8535,5070,8295,17074,1355,6738,39777,4411,1801
North Carolina,Wake,526101,557178,82527,194954,97054,144020,161524,154517,123799,78544,46340,692235,217096,3294,79929,470,43350,46905,110450,643170,87710,155907,153479,146737,524758,540079,21812,119023,991697,91582,1805
North Carolina,Warren,8939,9962,1080,3081,1232,1628,1975,1996,3009,2874,2026,7419,9407,1101,99,31,327,517,732,7210,5514,4486,3279,1817,3721,6528,551,2761,16984,1917,1809
North Carolina,Washington,5480,6130,359,2192,1178,734,1091,1345,1909,1622,1180,5362,5607,50,35,0,320,236,637,5168,3846,2949,1883,1645,1259,3785,305,2167,10124,1486,1811
North Carolina,Watauga,27609,27767,2254,7740,13910,5148,5085,5783,6708,5381,3367,51782,919,278,647,52,702,996,2088,50773,11409,12023,7542,6609,12042,24150,2126,10358,49758,5618,1813
North Carolina,Wayne,57034,62386,9886,20908,10901,13353,13443,14938,16000,11918,8073,74010,36504,291,1312,17,1676,5610,14633,62897,24522,30125,22575,14797,26554,48009,2694,17932,103906,15514,1814
North Carolina,Wilkes,33207,34299,4039,10590,4740,6920,7431,9320,10115,8382,5969,61134,2485,130,406,219,1154,1978,4499,58905,13464,17750,14651,9288,12224,26896,1357,10273,59754,7752,1817
North Carolina,Wilson,37911,42668,5312,14588,6763,8743,9278,10321,11285,8709,5580,40207,32021,384,516,0,4917,2534,8504,37565,17444,20562,14267,10396,17285,31773,3071,11546,71017,9562,1819
North Carolina,Yadkin,18490,18811,2430,5745,2999,3795,4080,5430,5587,4132,3103,34098,1175,120,38,22,630,1218,4187,31368,7035,8902,6932,6337,8019,15497,640,5754,33105,4196,1821
North Carolina,Yancey,8682,9019,1009,2468,1248,1575,1883,2379,2609,2645,1885,16876,73,99,53,4,169,427,897,16418,3300,4689,4087,2214,3396,6503,462,2729,15483,2218,1823
North Dakota,Adams,1142,1064,153,419,105,167,239,276,326,284,237,2103,36,3,52,0,0,12,38,2065,365,462,384,171,816,911,0,202,2027,179,1826
North Dakota,Barnes,5101,5283,636,1581,991,1026,1175,1198,1552,1285,940,9450,251,195,80,5,12,391,225,9307,1237,1877,1998,1799,3126,5027,92,823,9909,475,1828
North Dakota,Benson,3463,3389,820,1622,590,713,625,685,825,623,349,2790,13,3695,4,5,35,310,250,2779,1917,1222,1348,782,1578,2012,89,1337,6245,607,1831
North Dakota,Billings,473,413,81,134,34,64,170,67,149,108,79,886,0,0,0,0,0,0,0,886,79,73,227,141,336,379,17,88,857,29,1833
North Dakota,Bottineau,3275,3005,426,1034,558,526,662,670,990,851,563,5819,39,250,17,0,34,121,153,5712,707,928,1260,663,2560,2723,83,600,6047,233,1836
North Dakota,Bowman,1509,1514,260,524,253,281,346,289,474,328,268,2934,0,26,0,4,30,29,166,2825,229,451,577,590,1163,1350,58,235,2824,199,1838
North Dakota,Burke,1127,1013,164,401,70,256,230,245,350,249,175,1999,16,23,33,0,8,61,15,1993,165,272,340,366,992,949,24,178,2051,89,1841
North Dakota,Burleigh,46276,47274,7663,15678,8862,11890,12057,10371,12168,8538,6323,83184,2125,3795,739,79,406,3222,2452,81986,7783,12483,15391,14688,41751,46358,1087,7903,88681,4869,1844
North Dakota,Cass,89674,88510,15079,28038,26246,27279,23416,18419,18741,12427,8539,153281,10856,1558,5829,51,1025,5584,4945,150650,19180,26972,32226,27664,68288,97423,2901,13777,168037,10147,1848
North Dakota,Cavalier,1931,1730,241,554,324,275,331,388,603,511,434,3436,0,50,0,0,127,48,89,3436,529,700,589,539,1304,1634,28,259,3393,268,1849
North Dakota,Dickey,2389,2322,310,919,473,342,497,592,681,467,430,4497,33,81,0,0,23,77,163,4368,547,618,827,842,1790,2231,67,287,4426,285,2004
North Dakota,Divide,1103,1097,169,349,112,205,265,248,349,292,211,2064,57,25,0,0,0,54,111,1987,258,380,333,338,874,891,46,242,1973,227,2007
North Dakota,Dunn,2326,1978,336,776,260,538,461,511,723,400,299,3624,72,377,51,14,55,111,166,3545,361,665,584,401,2238,1882,31,580,3484,820,2013
North Dakota,Eddy,1112,1074,206,298,150,278,227,268,277,258,224,1931,0,120,0,2,23,110,46,1915,318,476,385,336,648,1011,15,174,2065,121,2017
North Dakota,Emmons,1616,1592,247,418,189,305,297,329,493,492,438,3127,0,11,36,0,6,28,26,3114,494,654,515,638,904,1266,29,318,3041,167,2021
North Dakota,Foster,1580,1554,234,503,229,286,399,331,507,349,296,2988,18,44,2,14,0,68,17,2975,360,535,631,420,1179,1550,3,199,3002,132,2026
North Dakota,Golden Valley,852,883,156,179,73,195,141,242,338,225,186,1594,0,29,0,0,0,112,65,1539,138,321,359,321,552,817,31,141,1631,104,2036
North Dakota,Grand Forks,34946,33001,5545,10461,12984,9849,6831,6270,7544,5066,3397,58186,2331,1828,1943,398,1068,2193,2891,56872,10553,12790,10209,9595,21837,35110,1276,7092,64029,3918,2043
North Dakota,Grant,1154,1114,192,343,107,220,214,223,350,327,292,2162,0,27,37,1,0,41,14,2154,336,511,467,372,582,886,10,218,2126,142,2051
North Dakota,Griggs,1104,1115,171,299,155,166,174,211,395,419,229,2148,0,11,0,0,0,60,36,2148,269,402,533,364,651,935,4,162,2134,85,2056
North Dakota,Hettinger,1128,1203,166,323,131,231,245,231,415,328,261,2187,0,11,0,1,44,88,69,2169,329,395,585,280,742,1017,30,206,2099,232,2063
North Dakota,Kidder,1346,1118,191,393,159,197,201,277,501,262,283,2354,14,37,6,0,36,17,119,2271,344,606,707,198,609,992,11,332,2145,319,2068
North Dakota,LaMoure,2141,2012,293,717,244,361,395,436,680,516,511,3987,29,12,4,0,17,104,89,3970,579,713,762,823,1276,1717,17,382,3973,180,2074
North Dakota,Logan,881,789,134,205,150,117,142,177,300,227,218,1622,0,2,1,0,12,33,18,1615,192,383,416,249,424,772,5,109,1634,36,2078
North Dakota,McHenry,2932,2804,428,982,303,589,678,749,855,629,523,5575,27,55,20,0,7,52,122,5467,725,851,1221,1013,1914,2547,113,514,5561,175,2082
North Dakota,McIntosh,1242,1187,149,293,133,275,195,263,424,306,391,2319,10,17,16,0,53,14,73,2299,422,502,495,435,575,1171,3,116,2262,167,2090
North Dakota,McKenzie,7506,6193,1526,3071,1254,2119,1524,1603,1498,694,410,11284,212,1365,90,0,266,482,1257,10539,1262,2156,1824,1773,6554,6445,223,1330,11543,2156,2097
North Dakota,McLean,4871,4535,703,1463,485,948,1004,1084,1570,1310,839,8433,33,609,12,21,63,235,243,8344,782,1589,1513,1851,3632,4026,69,996,9008,398,2103
North Dakota,Mercer,4203,4016,645,1318,462,837,899,1087,1480,886,605,7575,56,294,26,0,247,21,228,7496,882,1230,1031,1411,3652,3667,54,1044,7106,1113,2107
North Dakota,Morton,15614,14918,2251,4960,2599,4166,3986,3693,4188,2743,1946,27812,359,1079,213,43,479,547,1158,27296,2510,5484,4616,5718,12124,16234,320,2078,29061,1471,2114
North Dakota,Mountrail,5537,4756,1049,2023,796,1575,1336,1113,1254,713,434,6544,151,2993,54,21,261,269,851,6152,922,2127,1469,1354,4371,4529,152,1393,8569,1724,2119
North Dakota,Nelson,1427,1360,181,349,138,331,264,278,519,402,325,2583,3,0,16,0,85,100,108,2564,549,492,588,465,693,1247,5,278,2623,164,2122
North Dakota,Oliver,1021,939,175,342,75,150,215,206,310,311,176,1788,0,28,5,12,0,127,73,1788,339,240,278,256,847,746,22,188,1819,141,2127
North Dakota,Pembina,3409,3249,481,987,355,655,730,788,1178,823,661,6300,27,141,33,0,2,155,230,6101,775,1170,1286,1073,2312,2966,127,613,6140,518,2131
North Dakota,Pierce,1877,2024,293,617,216,398,399,491,575,442,470,3695,7,104,45,0,0,50,29,3666,775,443,775,659,1249,1741,15,323,3786,115,2136
North Dakota,Ramsey,5564,5516,914,1986,851,1174,1139,1274,1636,1216,890,9263,46,1059,171,0,35,506,289,9229,1415,2182,2120,1683,3542,5186,31,857,9975,1105,2141
North Dakota,Ransom,2647,2462,299,855,394,459,617,735,776,541,433,4802,12,23,157,0,67,48,79,4787,632,929,1044,987,1517,2406,87,488,4887,222,2147
North Dakota,Renville,1182,1141,222,390,182,291,229,236,374,234,165,2225,7,1,6,0,15,69,133,2129,140,463,489,279,952,1028,16,268,2197,126,2150
North Dakota,Richland,8308,7780,1108,2861,1961,1603,1725,1653,2370,1495,1312,14837,84,266,75,0,250,576,531,14565,2143,2690,2646,2849,4693,7525,211,1576,15382,706,2156
North Dakota,Rolette,7054,7275,1431,3789,1175,1409,1616,1572,1709,1038,590,2569,87,11049,12,0,79,533,328,2531,3381,3534,2275,1898,3193,4732,316,2433,10635,3694,2161
North Dakota,Sargent,2072,1790,258,525,288,401,461,477,596,517,339,3608,121,20,4,0,18,91,124,3524,274,735,843,696,1314,1872,30,321,3741,121,2164
North Dakota,Sheridan,649,640,72,142,55,137,76,184,214,171,238,1263,0,26,0,0,0,0,0,1263,149,272,375,198,295,472,9,185,1185,104,2169
North Dakota,Sioux,2160,2145,484,1105,432,518,435,527,437,244,123,534,4,3591,0,0,78,98,213,501,1167,1129,752,442,795,1186,256,907,2886,1419,2175
North Dakota,Slope,401,387,42,143,32,54,105,59,142,106,105,753,19,7,0,0,0,9,1,753,85,146,119,163,275,303,8,81,784,4,2180
North Dakota,Stark,16001,14876,3362,5274,2926,4381,3922,3575,3567,2086,1784,27746,824,517,403,81,644,662,1701,26852,3579,3376,5672,4190,13565,14442,445,3484,28021,2856,2182
North Dakota,Steele,940,877,98,309,157,117,204,233,302,195,202,1746,9,0,0,0,10,52,48,1742,209,280,297,228,803,814,2,197,1743,74,2186
North Dakota,Stutsman,9984,9985,1474,2986,1987,2337,2208,2239,3056,2117,1565,18669,282,244,105,3,114,552,501,18457,2928,3585,3565,3553,5534,9354,431,2042,18318,1651,2199
North Dakota,Towner,1223,937,124,342,166,178,233,198,402,289,228,1966,10,162,4,0,0,18,79,1887,239,634,334,380,573,936,15,226,1983,177,2205
North Dakota,Traill,3910,3871,602,1353,664,762,879,982,1119,786,634,7206,89,85,25,3,154,219,288,7098,637,1235,1400,1365,2942,3557,85,764,7351,430,2217
North Dakota,Walsh,5392,5063,866,1667,723,1117,995,1311,1669,1137,970,9716,31,250,83,0,76,299,1222,8782,1254,2123,1954,1758,3138,4766,97,952,9908,547,2225
North Dakota,Ward,32189,31874,5974,11180,7424,9700,7753,6531,7161,4674,3666,55194,2732,1215,921,170,996,2835,3831,53193,6391,8748,11802,11424,24870,31893,1085,5591,60282,3781,2233
North Dakota,Wells,1820,1966,276,520,198,333,343,411,725,512,468,3744,0,2,6,0,22,12,92,3681,516,678,824,748,997,1630,66,314,3676,110,2237
North Dakota,Williams,19358,16350,4245,6542,3153,6407,4786,3587,3777,1913,1298,29008,1595,934,436,47,1718,1970,3053,27878,2550,4421,5321,6040,17132,17705,618,3387,31005,4703,2244
Nebraska,Adams,15573,15700,2434,5849,3152,3315,3369,3503,4181,3055,2415,28712,169,81,413,3,1017,878,3399,26673,4364,5702,5622,5294,8961,14236,323,2961,29362,1911,1303
Nebraska,Antelope,3121,3130,471,1090,458,518,626,656,987,752,693,6034,71,0,17,1,55,73,215,5934,650,1641,1749,974,1237,2719,55,471,5823,428,1305
Nebraska,Arthur,205,234,32,86,15,33,31,54,52,43,93,422,0,1,0,0,1,15,7,418,72,98,91,50,128,155,1,29,389,50,1307
Nebraska,Banner,320,325,83,89,12,42,75,54,116,131,43,621,0,0,6,0,9,9,43,587,56,176,105,82,226,246,0,53,619,26,1308
Nebraska,Blaine,246,221,16,72,3,23,41,51,114,67,80,467,0,0,0,0,0,0,0,467,59,109,156,103,40,221,0,11,412,55,1309
Nebraska,Boone,2558,2575,437,827,384,467,507,586,823,558,544,5040,7,3,20,0,0,63,117,4944,478,1149,1125,977,1392,2410,38,319,4850,283,1310
Nebraska,Box Butte,5446,5238,784,2048,706,1252,1269,1042,1740,1123,720,9791,377,158,88,0,159,111,1375,8671,1332,1824,1766,2394,3329,4656,248,1105,9910,774,1315
Nebraska,Boyd,918,936,66,268,103,94,209,149,372,358,235,1769,4,13,4,0,20,44,57,1755,312,373,329,415,425,718,14,195,1696,158,1317
Nebraska,Brown,1367,1482,212,388,185,258,293,307,446,411,349,2761,0,5,11,0,0,72,72,2689,487,895,630,402,435,1231,11,247,2583,266,1319
Nebraska,Buffalo,24360,24558,3845,9019,6626,5766,6022,5108,5607,4077,2848,44541,379,77,657,3,2007,1254,4495,42510,5884,8578,8959,7951,15953,24689,642,3798,45078,3840,1321
Nebraska,Burt,3142,3271,419,1095,379,580,713,760,982,777,708,5997,14,166,21,13,57,145,204,5945,845,1405,1202,1387,1558,2569,122,723,5635,778,1323
