State,County,Agency,Ori,total aggravated-assault crimes (2006-2014),total aggravated-assault cleared crimes (2006-2014),total aggravated-assault actual crimes (2006-2014),total violent-crime crimes (2006-2014),total violent-crime cleared crimes (2006-2014),total violent-crime actual crimes (2006-2014),total arson crimes (2006-2014),total arson cleared crimes (2006-2014),total arson actual crimes (2006-2014),total human-trafficing crimes (2006-2014),total human-trafficing cleared crimes (2006-2014),total human-trafficing actual crimes (2006-2014),total rape-legacy crimes (2006-2014),total rape-legacy cleared crimes (2006-2014),total rape-legacy actual crimes (2006-2014),total homicide crimes (2006-2014),total homicide cleared crimes (2006-2014),total homicide actual crimes (2006-2014),total burglary crimes (2006-2014),total burglary cleared crimes (2006-2014),total burglary actual crimes (2006-2014),total motor-vehicle-theft crimes (2006-2014),total motor-vehicle-theft cleared crimes (2006-2014),total motor-vehicle-theft actual crimes (2006-2014),total larceny crimes (2006-2014),total larceny cleared crimes (2006-2014),total larceny actual crimes (2006-2014),total rape crimes (2006-2014),total rape cleared crimes (2006-2014),total rape actual crimes (2006-2014),total property-crime crimes (2006-2014),total property-crime cleared crimes (2006-2014),total property-crime actual crimes (2006-2014),Latitude,Longitude
New Mexico,SAN MIGUEL,New Mexico Highlands University,NM0250300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,35.476876,-104.803515
New Mexico,SANTA FE,Santa Fe County Sheriff's Office,NM0260000,6533,134,1033,7942,142,1257,527,6,88,0,0,0,823,1,122,65,3,13,30854,108,5707,1292,7,301,14187,64,2974,823,1,122,46333,179,8982,35.513731,-105.966439
New Mexico,SANTA FE,Santa Fe Police Department,NM0260100,11831,369,1747,18607,552,2764,844,11,136,0,0,0,1409,27,217,694,37,66,94379,509,16366,9183,53,1541,89524,2548,14543,1409,27,217,193086,3110,32450,35.513731,-105.966439
New Mexico,NOT SPECIFIED,Tesuque Pueblo,NM0260700,23,2,5,30,2,7,0,0,0,0,0,0,7,0,2,0,0,0,31,1,7,57,2,10,140,6,30,7,0,2,228,9,47,35.513731,-105.966439
New Mexico,"BERNALILLO, SANTA FE",Edgewood Police Department,NM0261200,182,19,23,229,23,31,4,0,1,0,0,0,10,0,3,0,0,0,521,34,108,108,8,23,1068,117,217,10,0,3,1697,159,348,35.513731,-105.966439
New Mexico,SIERRA,Sierra County Sheriff's Office,NM0270000,638,57,89,754,66,102,42,1,8,0,0,0,100,6,10,2,1,1,1148,25,192,220,6,37,1478,35,272,100,6,10,2846,66,501,33.119479,-107.188161
New Mexico,SIERRA,Truth or Consequences Police Department,NM0270100,1260,49,247,1423,52,283,9,0,4,0,0,0,88,1,21,16,1,3,2580,43,506,456,6,93,6531,114,1309,88,1,21,9567,163,1908,33.129433,-107.255806
New Mexico,SOCORRO,Socorro County Sheriff's Office,NM0280000,1283,51,202,1324,51,208,70,3,9,0,0,0,8,0,1,0,0,0,1201,3,220,343,8,53,1592,2,316,8,0,1,3136,13,589,33.991614,-106.939003
New Mexico,SOCORRO,Socorro Police Department,NM0280100,4616,238,655,4985,264,695,96,2,11,0,0,0,77,6,8,80,5,6,4662,146,869,622,21,114,12566,679,2194,77,6,8,17850,846,3177,33.991614,-106.939003
New Mexico,SOCORRO,Magdalena Police Department,NM0280200,187,18,40,193,19,41,43,4,6,0,0,0,6,1,1,0,0,0,154,7,51,18,1,5,190,11,59,6,1,1,362,19,115,33.991614,-106.939003
