State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Georgia,Calhoun,159,40,135,151,115,136,28,592
Georgia,Camden,159,37,15,45,35,28,62,603
Georgia,Candler,159,103,147,156,158,111,87,616
Georgia,Carroll,159,73,41,70,48,45,94,620
Georgia,Catoosa,159,18,20,35,12,18,61,626
Georgia,Charlton,159,96,82,136,107,133,82,635
Georgia,Chatham,159,36,40,28,9,27,86,646
Georgia,Chattahoochee,159,44,18,92,7,37,38,656
Georgia,Chattooga,159,133,89,126,139,120,109,659
Georgia,Cherokee,159,4,4,5,18,4,101,662
Georgia,Clarke,159,15,70,16,23,44,17,666
Georgia,Clay,159,74,150,152,153,156,32,670
Georgia,Clayton,159,62,95,37,99,81,97,673
Georgia,Clinch,159,151,158,159,154,128,10,676
Georgia,Cobb,159,5,7,4,8,7,36,680
Georgia,Coffee,159,110,106,120,156,110,128,684
Georgia,Colquitt,159,119,104,123,155,105,84,689
Georgia,Columbia,159,7,5,8,3,5,140,692
Georgia,Cook,159,107,100,91,102,90,54,697
Georgia,Coweta,159,10,14,21,21,11,145,700
Georgia,Crawford,159,81,83,143,116,68,135,704
Georgia,Crisp,159,136,152,115,84,126,78,707
Georgia,Dade,159,56,51,69,53,41,26,708
Georgia,Dawson,159,60,6,11,38,15,40,713
Georgia,Decatur,159,101,119,81,138,106,137,714
Georgia,DeKalb,159,16,25,10,17,29,159,718
Georgia,Dodge,159,94,86,100,69,121,29,720
Georgia,Dooly,159,84,139,116,123,123,47,724
Georgia,Dougherty,159,144,148,109,47,137,110,728
Georgia,Douglas,159,25,30,15,72,30,126,731
Georgia,Early,159,152,155,145,88,124,102,735
Georgia,Echols,159,74,98,86,132,89,25,737
Georgia,Effingham,159,39,23,43,43,14,52,742
Georgia,Elbert,159,102,93,142,137,107,96,746
Georgia,Emanuel,159,146,126,153,150,144,125,750
Georgia,Evans,159,46,123,137,100,113,57,754
Georgia,Fannin,159,85,26,25,66,36,3,755
Georgia,Fayette,159,6,3,2,1,3,66,760
Georgia,Floyd,159,88,59,44,58,67,41,764
Georgia,Forsyth,159,1,2,1,6,2,51,768
Georgia,Franklin,159,131,74,54,112,63,148,772
Georgia,Fulton,159,12,13,6,4,32,143,779
Georgia,Gilmer,159,90,27,34,101,75,7,781
Georgia,Glascock,159,140,50,114,33,65,142,783
Georgia,Glynn,159,64,57,55,54,48,4,793
Georgia,Gordon,159,65,52,72,128,49,74,796
Georgia,Grady,159,82,84,105,117,70,49,797
Georgia,Greene,159,51,87,48,27,88,150,800
Georgia,Gwinnett,159,3,8,7,49,10,24,804
Georgia,Habersham,159,26,38,42,81,55,75,806
Georgia,Hall,159,11,19,18,80,42,15,808
Georgia,Hancock,159,145,159,110,45,159,158,810
Georgia,Haralson,159,97,62,52,85,69,132,813
Georgia,Harris,159,19,9,9,16,6,77,814
Georgia,Hart,159,23,77,71,76,51,100,816
Georgia,Heard,159,99,46,83,68,76,80,817
Georgia,Henry,159,24,32,14,15,16,131,820
Georgia,Houston,159,31,33,24,39,17,6,823
Georgia,Irwin,159,157,141,89,97,119,46,825
Georgia,Jackson,159,22,22,20,28,19,153,828
Georgia,Jasper,159,55,75,98,61,47,139,830
Georgia,Jeff Davis,159,130,114,118,125,131,59,832
Georgia,Jefferson,159,142,128,102,152,150,123,834
Georgia,Jenkins,159,93,146,99,108,141,64,835
Georgia,Johnson,159,129,96,154,83,98,63,837
Georgia,Jones,159,33,39,32,34,22,73,839
Georgia,Lamar,159,124,91,67,77,62,152,841
Georgia,Lanier,159,80,63,49,144,94,120,845
Georgia,Laurens,159,149,109,117,14,108,72,847
Georgia,Lee,159,38,21,33,5,12,21,849
Georgia,Liberty,159,71,49,132,36,31,35,855
